country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,3350000000,3310000000,3250000000,3180000000,3100000000,3010000000,2930000000,2850000000,2910000000,2930000000,2970000000,3260000000,3290000000,3330000000,2670000000,3320000000,3330000000,3670000000,3670000000,4070000000,4070000000,4070000000,4070000000,4090000000,4090000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000,4050000000
Argentina,577000000,583000000,623000000,611000000,601000000,613000000,604000000,624000000,696000000,604000000,594000000,579000000,487000000,465000000,482000000,557000000,578000000,616000000,618000000,656000000,700000000,688000000,598000000,551000000,488000000,395000000,401000000,398000000,359000000,341000000,323000000,299000000,284000000,295000000,299000000,315000000,315000000
Australia,155000000,391000000,548000000,538000000,589000000,606000000,771000000,914000000,883000000,817000000,793000000,812000000,860000000,848000000,1100000000,1080000000,1160000000,1280000000,1700000000,1700000000,1880000000,2280000000,2160000000,2040000000,1990000000,2010000000,2030000000,1960000000,3010000000,3020000000,3130000000,3120000000,3120000000,3120000000,3120000000,3120000000,3120000000
Azerbaijan,,,,,,,,,,,,,,,,,,514000000,514000000,776000000,776000000,776000000,776000000,776000000,776000000,776000000,776000000,782000000,827000000,797000000,800000000,800000000,800000000,790000000,1050000000,1030000000,1030000000
Bahrain,210000000,203000000,200000000,196000000,193000000,188000000,184000000,178000000,171000000,165000000,159000000,156000000,150000000,143000000,138000000,132000000,128000000,128000000,128000000,106000000,99000000,99000000,99000000,82800000,81000000,81000000,81000000,76500000,81000000,208000000,197000000,197000000,179000000,171000000,163000000,155000000,147000000
Bangladesh,257000000,285000000,305000000,280000000,318000000,318000000,319000000,319000000,315000000,653000000,653000000,648000000,273000000,267000000,271000000,245000000,270000000,267000000,267000000,291000000,275000000,306000000,306000000,390000000,380000000,366000000,345000000,337000000,310000000,328000000,319000000,314000000,248000000,228000000,209000000,185000000,185000000
Bolivia,110000000,139000000,131000000,121000000,113000000,116000000,123000000,128000000,132000000,104000000,102000000,104000000,108000000,106000000,97200000,114000000,97200000,106000000,135000000,466000000,608000000,698000000,732000000,704000000,681000000,680000000,666000000,639000000,639000000,253000000,253000000,253000000,285000000,268000000,252000000,252000000,252000000
Brazil,47000000,53200000,63800000,72700000,74500000,82400000,85100000,93100000,96600000,103000000,102000000,110000000,118000000,121000000,129000000,137000000,140000000,202000000,200000000,205000000,196000000,195000000,217000000,217000000,289000000,272000000,308000000,324000000,323000000,325000000,375000000,407000000,407000000,406000000,418000000,381000000,335000000
Brunei,186000000,191000000,199000000,196000000,214000000,214000000,306000000,298000000,290000000,285000000,298000000,356000000,360000000,360000000,360000000,360000000,360000000,352000000,344000000,337000000,329000000,320000000,315000000,311000000,309000000,306000000,298000000,309000000,289000000,278000000,271000000,259000000,259000000,248000000,248000000,248000000,248000000
Canada,2240000000,2310000000,2330000000,2350000000,2530000000,2510000000,2470000000,2420000000,2400000000,2460000000,2450000000,2440000000,2400000000,2010000000,1710000000,1740000000,1750000000,1630000000,1570000000,1550000000,1510000000,1520000000,1500000000,1440000000,1440000000,1470000000,1480000000,1470000000,1580000000,1550000000,1780000000,1730000000,1800000000,1820000000,1790000000,1950000000,1950000000
