country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,414,491,689,708,840,1010,1090,1280,1220,942,1670,1900,1530,1640,1920,2130,1990,2390,2160,2240,1760,1980,2100,2520,2830,3510,3140,3120,2870,2780,2610,2440,1390,1350,1290,1240,1180,1100,1040,821,774,818,1070,1200,950,1330,1650,2270,4210,6770,8460,12200,10800,10000,9810
Albania,2020,2280,2460,2080,2020,2170,2550,2680,3070,3250,3740,4350,5640,5290,4350,4590,4950,5720,6490,7590,5170,7340,7310,7630,7830,7880,8060,7440,7330,8980,5520,4290,2520,2340,1930,2090,2020,1540,1750,2980,3020,3220,3750,4290,4170,4250,3900,3930,4370,4380,4600,5240,4910,5060,5720
Algeria,6160,6070,5670,5430,5650,6600,8430,8440,9060,11300,15100,18700,28300,38300,31900,32000,39200,41900,62500,45600,66500,46400,39300,52600,71100,72800,76300,84100,83900,80000,77000,79000,80100,82200,86400,95300,97100,87300,107000,92000,87900,84200,89900,91600,88500,107000,101000,109000,110000,121000,119000,121000,130000,134000,145000
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,407,411,407,425,455,466,491,513,524,524,532,535,561,576,546,539,539,517,517,491,488,477,462
Angola,550,455,1180,1150,1220,1190,1550,994,1670,2790,3580,3410,4510,4880,4870,4420,3290,3530,5410,5500,5350,5280,4650,5120,5010,4700,4660,5820,5130,5010,5120,5090,5200,5780,3890,11000,10500,7380,7310,9160,9540,9730,12700,9060,18800,19200,22300,25200,25700,27800,29100,30300,33400,32600,34800
Antigua and Barbuda,36.7,47.7,103,84.3,91.7,150,348,565,990,1260,462,425,374,330,429,708,403,466,491,407,143,106,293,84.3,147,249,249,275,286,286,282,268,264,271,268,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,532
Argentina,48800,51200,53700,50100,55700,58900,63100,65500,69100,77300,82700,88900,90200,94100,95600,94900,99800,101000,103000,111000,109000,102000,103000,105000,107000,101000,104000,115000,121000,117000,112000,117000,121000,118000,122000,128000,135000,138000,140000,147000,142000,134000,125000,135000,158000,162000,175000,175000,189000,180000,188000,192000,192000,190000,204000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5830,2560,2710,3410,2560,3230,3360,3010,3470,3540,3040,3430,3640,4350,4380,5060,5560,4360,4220,4920,5690,5500,5530
Australia,88200,90600,94900,101000,109000,121000,120000,129000,135000,142000,148000,153000,157000,171000,172000,176000,174000,188000,202000,205000,221000,230000,234000,225000,237000,241000,240000,256000,261000,278000,264000,261000,268000,277000,278000,282000,302000,306000,317000,325000,329000,325000,341000,336000,343000,350000,365000,372000,386000,395000,391000,392000,388000,372000,361000
Austria,30800,31900,33900,37000,38900,38200,39300,40000,42400,44700,50700,52200,56200,60200,57500,54400,58400,56200,57500,61600,52300,56100,53900,52000,54600,54700,54100,57700,53300,54100,57700,61600,56700,57100,57100,59800,63200,62700,63700,61900,62300,65900,67100,72200,72400,74200,72200,69700,69000,62700,67500,65000,62300,62500,58700
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56200,48500,42000,33300,31300,29800,31700,28600,29500,28800,29600,30600,32100,34300,39200,30500,35500,31900,30700,33400,35600,35600,37500
