country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0,0,0,0,0,0,0,260,348,0,216,440,301,334,400,477,301,513,301,385,187,304,396,616,931,1190,1200,392,440,480,403,389,363,352,337,323,308,282,264,242,224,209,546,466,227,330,330,308,297,271,271,308,308,297,271
Albania,84.3,84.3,84.3,84.3,84.3,84.3,103,128,147,169,187,242,279,367,429,554,671,700,678,708,774,807,865,975,1050,972,1050,451,356,447,466,275,198,158,99,51.3,44,36.7,33,29.3,22,14.7,25.7,25.7,33,22,22,33,14.7,18.3,25.7,29.3,29.3,33,58.7
Algeria,0,451,689,605,1190,1780,1850,1790,1880,2480,136,675,3140,3150,2450,4460,6070,3610,23900,8170,25500,11200,7180,16600,30500,27700,33100,40100,39000,36700,38900,38500,32000,36100,37400,47300,50600,39000,54700,51000,39700,41100,44700,44100,41200,61300,49300,51100,51600,54900,53400,56800,64200,65500,73900
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,84.3,84.3,110,125,132,125,110,136,136,136,147,172,172,198,220,220,246,297,301,319,1010,1090,1070,1050,972,1050,1050,1070,1090,1050,1090,990,1160,1220,1440,1250,1310,1600,1270,1290,1370,1410,1420,766,579
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,2370,4030,5110,5830,6470,7250,7850,8210,9150,9110,10300,11000,12500,14200,14900,15700,16500,16900,16400,18000,19600,20500,23300,26300,27300,28800,31000,36700,42300,44600,43200,47300,48300,40800,42700,53200,57600,61600,61700,67700,69500,64900,62700,69100,83000,82000,83900,87200,90200,88100,87000,92700,95500,90800,96700
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,1510,1620,2620,2040,2680,2790,2280,2570,2610,2010,2230,2480,3070,3140,3760,4130,3170,2960,3760,4570,4430,4460
Australia,0,0,3.67,7.33,7.33,7.33,7.33,7.33,11,488,2760,4100,5850,6490,7720,8380,9270,11100,13800,15300,17700,20400,22500,22800,24100,30200,28100,29000,29700,30400,33900,31700,32800,34200,35700,38300,38500,38800,40300,42000,44100,46500,49100,47000,47100,43500,53000,60700,65500,67200,65100,68500,65400,69300,72600
Austria,2920,3090,3240,3380,3520,3420,3670,3520,3750,4680,5680,6560,7090,7630,8280,8120,9270,9420,9810,9770,9290,8830,8550,8690,9730,10400,9260,9640,9240,10100,11900,12600,12300,13000,13400,14600,15500,15000,15400,15600,15100,16000,16000,17500,17800,18700,17500,16500,17500,16900,18600,17600,16800,16200,14800
