country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,0,0,0,0,0,0,0,20.3,28.4,0,12.9,23.2,19.6,20.4,20.8,22.4,15.1,21.5,13.9,17.2,10.6,15.3,18.8,24.4,32.9,34,38.3,12.6,15.3,17.3,15.4,15.9,26.1,26.2,26.1,26,26.2,25.8,25.4,29.5,28.9,25.6,51,39,23.9,24.9,20,13.5,7.06,4.01,3.21,2.52,2.86,2.97,2.77
Albania,4.17,3.7,3.42,4.05,4.18,3.88,4.02,4.79,4.77,5.2,5,5.56,4.94,6.93,9.87,12.1,13.6,12.2,10.4,9.33,15,11,11.8,12.8,13.4,12.3,13.1,6.06,4.85,4.98,8.44,6.42,7.87,6.75,5.14,2.46,2.18,2.38,1.88,0.983,0.728,0.455,0.684,0.598,0.792,0.517,0.564,0.84,0.335,0.419,0.558,0.56,0.597,0.652,1.03
Algeria,0,7.44,12.2,11.1,21.1,27,22,21.2,20.8,22,0.9,3.61,11.1,8.22,7.69,13.9,15.5,8.61,38.2,17.9,38.3,24.1,18.3,31.6,42.9,38.1,43.4,47.7,46.5,45.9,50.6,48.7,39.9,43.9,43.3,49.6,52.1,44.7,51.1,55.4,45.2,48.8,49.7,48.1,46.6,57.1,48.8,46.7,46.8,45.3,44.8,46.8,49.4,48.7,50.8
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,2.35,2.47,2.44,2.55,2.71,2.82,3.35,3.84,2.51,2.47,2.74,3.26,3.71,3.87,4.39,4.68,5.27,5.11,5.86,6.37,19.8,21.3,20.5,18.2,25,9.56,10,14.5,14.9,11.5,11.4,10.2,9.15,13.4,7.67,6.53,5.86,6.34,4.95,4.64,4.72,4.64,4.26,2.35,1.67
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,4.85,7.88,9.52,11.6,11.6,12.3,12.4,12.5,13.2,11.8,12.4,12.4,13.8,15.1,15.6,16.6,16.5,16.8,16,16.3,18,20.1,22.5,25,25.6,28.7,29.7,32,34.8,38.1,38.6,40.4,39.8,34.6,34.9,41.6,42.7,44.6,44.1,46,48.9,48.5,50.2,51.2,52.7,50.6,47.8,49.8,47.7,48.9,46.3,48.4,49.6,47.8,47.4
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.7,59,59.8,76.8,79.7,82.9,83.1,75.5,74.1,73.8,65.9,65,67.9,70.4,71.7,74.3,74.2,72.8,70.1,76.4,80.2,80.5,80.6
Australia,0,0,0.00386,0.00726,0.00673,0.00606,0.00609,0.00567,0.00817,0.343,1.87,2.69,3.71,3.8,4.48,4.76,5.32,5.89,6.84,7.46,8.01,8.85,9.63,10.1,10.2,12.5,11.7,11.3,11.4,10.9,12.8,12.1,12.3,12.3,12.8,13.6,12.7,12.7,12.7,12.9,13.4,14.3,14.4,14,13.7,12.4,14.5,16.3,17,17,16.7,17.5,16.9,18.6,20.1
Austria,9.48,9.7,9.56,9.14,9.05,8.97,9.36,8.81,8.85,10.5,11.2,12.6,12.6,12.7,14.4,14.9,15.9,16.8,17.1,15.9,17.8,15.7,15.9,16.7,17.8,19,17.1,16.7,17.3,18.6,20.6,20.4,21.8,22.8,23.4,24.4,24.6,23.9,24.2,25.3,24.2,24.3,23.8,24.2,24.6,25.2,24.3,23.7,25.3,26.9,27.6,27,26.9,25.9,25.1
