country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,271,293,363,392,477,543,576,557,499,528,671,748,627,704,770,876,884,975,935,1170,924,1020,994,1220,1130,1550,1140,2020,1820,1870,1850,1720,928,895,858,825,781,726,689,495,499,491,440,601,594,862,1140,1200,2810,4950,5870,7610,6760,5750,5110
Albania,1580,1820,1960,1650,1540,1620,1900,1920,2190,2220,2480,2940,4090,3500,2420,2460,2650,2950,3290,3780,1570,3500,3150,3130,2950,2760,2870,2820,2580,4100,2170,2230,1420,1480,1610,1770,1760,1410,1630,2790,2850,3130,3640,3890,3760,3920,3550,3380,3800,3420,3490,3780,3160,3330,3860
Algeria,4370,4320,4140,4130,3780,4180,5980,6100,6540,7880,6840,7620,7260,9380,9610,11300,11000,13900,13200,15400,18600,18200,18700,22000,22800,22500,22800,25100,27300,25200,23200,26100,28700,28000,30500,27100,27400,30000,33100,22200,30900,28500,29500,32000,32800,31100,35300,38400,37400,44900,45400,47000,48600,52000,52900
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,407,407,411,407,425,455,466,491,513,524,524,532,535,561,576,546,539,539,517,517,491,488,477,462
Angola,348,312,1010,1030,1040,1010,1330,799,1420,2500,1750,1650,2480,2510,2450,2180,1940,1070,2680,2770,2660,2760,2160,2540,2290,1960,1870,2930,1910,1750,2480,2280,2290,2970,1300,8420,7040,3330,2760,3710,3670,4310,5020,6840,5040,4740,7760,8810,10200,12300,13400,14400,17200,17400,19500
Antigua and Barbuda,36.7,47.7,103,84.3,91.7,150,348,565,990,1260,462,425,374,330,429,708,403,466,491,407,143,106,293,84.3,147,249,249,275,286,286,282,268,264,271,268,275,293,308,319,330,345,348,370,403,422,429,444,469,480,510,524,513,524,524,532
Argentina,41200,42200,45100,40700,45200,47400,48600,49800,52600,60600,64000,69400,69400,71300,71500,69000,71900,72800,73000,79100,76600,70100,69100,68700,67300,60500,62300,66500,66300,59800,59200,61300,63700,67200,67300,62900,66000,66900,69600,72100,66900,63700,57500,59400,67900,71900,82000,78000,88700,82400,90200,87000,85700,88800,94200
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1770,939,942,671,367,392,407,587,788,777,818,935,920,983,920,924,1030,953,1010,942,895,851,858
Australia,27800,29100,31900,35700,40000,47900,47000,51900,56000,61600,68300,72000,71400,82100,76800,78000,73500,78000,81500,79800,82300,85700,85100,77000,81500,72000,74000,76400,77300,81500,82800,78600,80800,87600,87700,86700,93800,89400,87200,89100,91000,80600,89900,95500,95100,99400,98200,99000,107000,107000,115000,119000,123000,123000,120000
Austria,8420,9560,11000,12300,14600,14800,16500,18400,20900,22400,24800,27800,30300,33500,29400,28900,31900,31400,31900,34600,26100,30000,28700,26400,25500,25300,27800,31000,27400,27800,27700,30100,29100,30200,29700,30100,32400,31700,34000,32000,31400,33700,34600,37100,37200,37700,36600,35800,34600,32600,33800,32100,31000,31700,30300
