country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,65.5,59.7,52.7,55.4,56.8,53.8,52.7,43.4,40.7,56,40.1,39.5,40.9,43,40.2,41.2,44.5,40.8,43.3,52,52.5,51.2,47.3,48.4,40,44.1,36.3,64.6,63.6,67.2,70.8,70.5,66.6,66.5,66.3,66.4,66.4,66.2,66.2,60.3,64.5,60.1,41.1,50.3,62.5,64.9,68.9,52.7,66.9,73.1,69.4,62.2,62.9,57.4,52.1
Albania,77.9,79.7,79.5,79.2,76.2,74.7,74.4,71.5,71.1,68.5,66.3,67.6,72.4,66.1,55.8,53.5,53.6,51.5,50.6,49.8,30.4,47.7,43.1,41,37.7,35,35.6,37.9,35.2,45.6,39.4,52,56.3,63.4,83.4,85.1,87.1,91.4,92.9,93.5,94.2,97,97.1,90.7,90.3,92.1,91,86.1,86.8,78.1,76,72.1,64.3,65.8,67.5
Algeria,71,71.2,73,76.1,67,63.4,70.9,72.2,72.2,69.9,45.4,40.8,25.6,24.5,30.1,35.3,28.2,33.1,21.1,33.7,28,39.1,47.5,41.9,32,30.9,29.9,29.9,32.5,31.4,30.2,33,35.8,34.1,35.3,28.4,28.2,34.4,31,24.1,35.2,33.8,32.8,34.9,37.1,29,34.9,35.1,33.9,37,38.1,38.7,37.4,38.6,36.4
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Angola,63.3,68.5,85.4,89.8,85,85.2,85.8,80.4,84.9,89.7,48.7,48.3,55,51.5,50.3,49.4,58.9,30.4,49.5,50.4,49.7,52.4,46.5,49.6,45.8,41.7,40.1,50.3,37.2,34.8,48.5,44.9,44.1,51.4,33.4,76.7,67.4,45.2,37.8,40.5,38.5,44.2,39.7,75.5,26.8,24.7,34.9,35,39.8,44.3,46,47.3,51.5,53.3,56
Antigua and Barbuda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Argentina,84.5,82.4,84,81.2,81.2,80.5,77,76,76.1,78.4,77.3,78,76.9,75.8,74.8,72.7,72.1,72.2,71.1,71.5,70.4,68.7,66.8,65.3,63.2,60.1,59.7,57.9,54.6,51.1,52.8,52.3,52.5,57,54.9,49.1,48.9,48.5,49.8,49,47,47.6,46.1,44,43.1,44.3,46.7,44.5,46.9,45.8,48,45.4,44.5,46.8,46.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,36.7,34.8,19.7,14.3,12.1,12.1,19.5,22.8,21.9,26.9,27.3,25.3,22.6,21,18.2,18.6,21.9,23.9,19.2,15.7,15.5,15.5
Australia,31.6,32.2,33.6,35.3,36.7,39.6,39.1,40.1,41.6,43.3,46.2,47.1,45.3,48,44.5,44.3,42.2,41.5,40.4,38.9,37.3,37.2,36.4,34.2,34.4,29.8,30.8,29.8,29.6,29.3,31.4,30.1,30.1,31.6,31.5,30.8,31.1,29.2,27.5,27.4,27.6,24.8,26.3,28.4,27.8,28.4,26.9,26.6,27.7,27.2,29.4,30.5,31.6,33.2,33.3
Austria,27.3,30,32.5,33.4,37.4,38.7,42,46.1,49.4,50.1,48.9,53.3,53.9,55.8,51.1,53.1,54.7,55.9,55.5,56.1,49.9,53.5,53.2,50.9,46.8,46.3,51.4,53.7,51.4,51.4,47.9,48.9,51.3,52.9,52,50.3,51.3,50.5,53.4,51.8,50.4,51.1,51.6,51.4,51.3,50.9,50.7,51.3,50.1,52,50.1,49.3,49.8,50.7,51.6
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,63.7,59.7,59.7,62,62.3,66.2,58.8,60.9,39.2,38.1,41.5,39.7,42.7,33.2,37.6,29.9,29,28.4,31.3,33.2,33.9,31
Bahamas,100,100,100,100,100,100,100,80,79.1,76.7,83.9,93.8,92.4,93.8,94.5,97.7,97.9,99.6,97.5,96.8,97.1,97.1,96.9,99.5,100,100,100,100,100,99.8,99.8,99.8,99.6,99.6,99.8,99.6,99.8,99.7,99.8,99.6,99.8,99.8,99.8,99.5,99.6,99.6,99.6,99.8,99.8,99.6,99.8,99.6,99.8,99.9,99.7
Bahrain,100,100,100,92,93.8,92.2,82.5,88.7,53.2,53.3,74,66.6,41,43.6,29.9,30.6,36.4,39.2,35.8,32.7,29,33.7,36.8,20.2,26,19.1,14.8,21.3,20.4,14.1,15.2,15.7,7.74,13.7,16.3,11.2,13.2,15.8,16.3,11.7,13.1,13.8,19.6,20.8,21.7,24.5,16.3,21.5,22,13,14.1,12.9,5.94,14.2,7.07
Bangladesh,,,,,,,,,,,,,69.2,64.4,60.5,68.8,65.2,61.5,62.3,63.3,62.9,61.2,54.7,51.6,48.2,47.3,46.2,44.9,44.3,42.9,43.2,40.1,43.2,38.8,38.2,36.9,39.6,40.1,36.3,33.2,28.5,29.9,29.6,29.2,28.2,26.8,25,22.6,19.8,17.2,17.6,21.4,21.8,20.3,20.8
Barbados,95.7,96.2,97.2,96.2,98,96.4,95.9,97.8,99.2,99.2,99.1,99.2,99.3,98.5,99.3,99.4,97.9,98.1,97.1,95.7,96.2,97.9,97.7,97.3,84.8,81.4,83.6,84.8,84.9,83.7,85.7,88.1,86.9,92.8,89.2,89.4,87.1,85,82.6,82.1,82.7,84.7,83.3,83.8,83.9,83.7,84,86.6,88.7,90,90.1,90.6,91.5,91.1,91.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8,47.8,46.9,46.9,44.3,38.4,38,35.3,31,29.9,28.6,27.3,28.3,27.9,29.8,27.5,29.2,38.1,26.9,31.4,30.1,29.7,29.3
Belgium,22.8,25.1,27.6,30.3,34.3,38.4,41.7,43.5,46.2,48.2,52,55,54.7,53.1,47.2,50.4,50,50.7,50.7,48.4,47.3,44.8,45.2,45.1,41.5,42.3,49,47.2,48.9,44.1,43,46.1,47.9,48.2,47.4,46.8,48.1,48.8,47.9,47.5,45,47.3,46.5,48.5,48,48.2,47.3,46.9,48.7,51,49.6,50.6,49.8,50.4,53.2
Belize,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.3,98.2,98.5,98.6,99.3
Benin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,72.3,65.8,67.9,66.9,70.1,79.8,78.1,72.1,82.1,80.2,78.8,80.4,79.6,77.7,81.7,78.2,85.8,91.9,91.8,93.7,92.2,93.1,94,94.7,95,94.8,80.8,82.8,84.8,85.9,87.2,86.2,87.3,87.8,86.1
Bhutan,,,,,,,,,,,100,100,100,100,100,100,100,100,100,83.3,83.3,100,88.9,100,100,100,100,57.1,56.7,100,62.9,43.1,35.6,46,41.4,41.2,41.5,30.8,33.7,35.2,37,41.9,40.4,49.5,64.3,53.7,56.1,57,51.3,62.3,63.9,50,51.1,47.8,40.7
Bolivia,96.4,89.4,90,90.6,80.9,86.4,85.5,82.9,79.3,68.5,72.9,61.1,57.4,63.1,67.4,70.7,69,74,65.8,71.3,74.5,74.4,73.9,73.8,76.3,75.8,76.2,73,68.5,61.2,56.8,54.7,51.2,47.3,48.4,51,55.7,52.9,60.1,57.8,42.1,59,47.4,54.6,54.8,55,44,58.2,55.2,53.1,52.5,52.4,54.6,53.3,52
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,10.7,49.9,48.3,40.1,21,20.4,20.6,24,24.3,21.7,19.7,21.8,19.4,18.9,20.1,20.4,21.3,21,18.5,18.5,18.3,18.4
Botswana,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,34.8,30.1,39.8,35.6,35.1,42.4,39.3,39.5,49.5,45.7,47.9,47.5,52.9,49.1,47.7,49.5,54.2,56.6,58,52.2,62.1,64.9,55.2,42.7
Brazil,83.2,84.3,83.6,84.4,82.9,81.2,80.7,81.2,82.7,82.4,83.5,84.9,85.5,87.2,87.1,85.9,85.3,83.1,82.3,82.1,80.4,78.9,77.4,75.5,72.4,70.4,71.6,70.2,70.6,70.9,72.1,70.8,72.3,72.5,72.8,72.8,72.6,72.8,73.4,72.8,71.4,70.8,69.7,68.3,67,66.8,66.4,66.1,65.3,68.4,65.2,65.8,65.9,64.7,64
Brunei,8.79,9.64,19.8,15.5,21.5,3.3,41,32.5,33.3,33.8,2.32,3.46,2.33,2.5,3.58,4.25,5.6,6.94,5.69,8.58,9.8,-40.1,-27.3,-1.08,34.2,47.2,57.4,35.9,28,24.8,24.9,30.9,24.2,32.3,28.8,22.7,24.5,25.3,27,39.6,17.8,20,16.4,18.3,20.2,21.2,20,22,22.6,22.3,19.4,20.2,21.4,21.2,18.6
Bulgaria,12.8,14.1,16.4,18.9,22,23.6,25.4,27.5,29.5,33.9,41.5,46.1,46.9,47.7,49.3,46.9,48.3,48.7,48.7,45.2,40,40.5,43.8,43.5,41.2,41.1,41.7,39.6,39.3,39.9,33.7,29.6,26.8,39.4,29.6,30.6,26.1,22.7,24.9,25.9,24.2,22.7,26.8,25.5,24.3,27,27.1,24.4,23.9,27.2,25.3,21,24.4,25.3,26.1
Burkina Faso,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.7,97.9,97.7,97.9,90.6,95.1,97.4,98.5,98.6,98.7,98.7,98.9,99.1,87.8,85.4,85,86.7,87.4,90.5,92.9
Burundi,,,100,100,100,100,100,100,100,100,100,100,95,95,96,100,95.8,100,100,96.7,97.5,95.3,90.7,91.1,90,93.7,92.2,89.7,93.5,93.2,93,93.8,91.5,93.5,92.2,92.3,93.9,94.1,94.1,98.6,98.6,96.4,94.8,95.5,96.3,95.2,92.2,96.1,94.2,92.3,91.4,87.9,76.6,74.7,88.3
Cambodia,100,100,100,100,90.3,75.5,72.7,84.2,74.6,95.1,95.6,77.9,65.6,68.6,65,65,65,65,92.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.5,96.7,93.9,95.2,96.2,100,100,100,100,100,100,100,100,98.7,90.1,89.4,91.6,90.7,90.3,87.4,75.8
Cameroon,98.6,98.7,100,100,100,100,100,100,99.3,100,97.1,91,89.8,89.4,88.7,89.6,86.2,88.5,91.2,86.6,93.5,95.1,95.8,95.3,99.9,99.9,99.8,99.8,86.8,96,82,76.1,91.9,92,93.7,93.5,96.5,90.3,88.5,86.2,87.1,85.7,86.4,87.5,87,86.5,87.1,78.4,78.1,83.1,83.9,82.7,81.3,76.7,72.6
Canada,60.1,61.2,61,63.7,60.5,60.2,60.1,60.9,59.1,59.1,61.9,62.5,61.3,62.5,63.9,61,58.6,57.3,56.3,55.3,54.5,53,50.3,47.5,45.3,44.3,46.1,46.8,46.3,44.6,47.3,45.1,44.8,45.4,44.2,44,43.2,43.4,44.3,44.2,43.3,43.9,43.1,44.3,45.7,44.9,43.9,43.5,46.1,48,47.8,47.7,46.5,46.7,46.2
Cape Verde,83.3,83.3,80,75,75,71.4,100,100,87.5,80,80,90,92.9,88.2,100,100,100,100,96.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Central African Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chad,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,88.6,87.4,86.4
Chile,51.4,49.9,49.9,52.4,56,57.4,60.9,59.7,60.5,59.2,58.4,56.4,57.8,55.8,57.2,56,57.1,61,63.4,62.1,61.2,64.2,68.5,65.3,61.7,61.6,63.5,64.5,60.6,55.4,55.7,61.1,64.2,66,63.7,64.3,60.4,55.1,54.2,52.3,52.1,53.4,55,53.3,52.4,54.8,55.2,66,66.2,67.3,60.2,57.6,55.8,55.2,56
China,2.95,4.05,4.95,5.33,6.35,7.36,8.53,9.82,10.4,11.6,12.3,13.7,14.9,16.4,18.5,17.8,20,19.7,19.3,18.6,18.6,17.7,16.3,15.8,15,14.5,14.7,14.6,14.5,14.7,13.5,13.9,14.5,14.9,13.9,14.1,14.8,16.1,16.8,18,19.1,18.9,17,16,16,14.4,13.8,13.2,12.9,12.3,12.5,11.6,11.7,12,12.3
Colombia,48.4,50.5,48.9,49.3,50.5,49,52.4,49.9,53.7,51.9,61.2,59.8,59.1,58.1,59.6,57.2,57.3,57.2,54.1,53.2,53.9,51.8,51.3,51.1,50.3,51.7,53.3,53.4,54,55.3,54.3,56.1,57.5,56.3,58.6,53.4,53.9,53.7,53.6,53.8,50.7,50.8,51.6,51.7,53.7,50.8,54,54.9,50.1,48.4,45.8,45.7,48.4,47.3,47.3
Comoros,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Congo, Dem. Rep.",50.9,52.3,56.8,58.9,46.6,47.3,56.7,52.2,73.7,71.3,63.2,62.7,64,65.7,66.1,69.6,64.8,67.5,69.5,74.1,69.6,70.7,64.3,73.6,72.4,71.3,68.6,71.6,70.7,75.6,75.5,95.8,96.9,97.2,94.9,94.5,94.8,96.7,96,94.2,89.6,88.2,85.8,83.3,83.2,82.6,82.5,82.5,86.6,84.3,85.5,89.1,91.5,93.8,96.4
"Congo, Rep.",100,100,100,100,100,100,100,100,100,99.3,66,58.8,56.4,29.4,22.8,30.7,42.7,62.6,73.9,78.9,67.6,67.4,86.9,84.9,85.2,84.5,81.1,85.6,86.1,84.4,81.8,77.7,74.2,67.8,80.7,73.3,76.9,81.7,45.8,44.2,53.1,100,100,96.4,96.1,90.3,91.5,92.4,92.4,90.8,88.1,85.9,83.8,82.3,78
Costa Rica,100,100,100,100,97.8,93.1,94.1,93.7,93.6,93,92.7,93,92.5,93.4,92.3,91.9,91.4,92.3,91.6,90.6,88.8,89.7,89.8,90.9,88.3,89.5,89.5,89.5,90.5,89.8,89.6,89.6,90.8,89.1,91.1,91.1,91.3,90.6,89.8,90,90.4,87.6,87.4,85.8,84.8,83.6,88.1,82.2,83.5,83.5,88.6,88.1,88.1,87.3,87.4
Cote d'Ivoire,100,100,100,100,100,100,95.8,91.4,90.6,90.7,91.9,90.8,90,89.7,91.1,100,100,100,100,100,89.6,86.6,91,93.4,95,95.4,93.5,95.8,96.2,97.1,95,94.5,93.8,95.3,88.3,91.1,82.7,74.1,71.6,56.7,59.6,61.8,58.8,51,56.8,53.2,52.6,53.9,52.5,48.3,43.5,46.3,54.7,54.2,54
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,56.4,59.5,65,62,62.3,65.4,64.2,58.2,57.1,56.6,57.9,54.9,56.6,57.7,55.5,54.7,57.8,51.2,50.5,50,49,51
