country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,0.0564,0.0568,0.0434,0.0528,0.0605,0.0713,0.125,0.164,0.177,0.25,0.191,0.166,0.155
Albania,0.658,0.687,0.425,0.352,0.262,0.246,0.214,0.18,0.185,0.277,0.253,0.245,0.264,0.283,0.254,0.241,0.199,0.182,0.18,0.17,0.164,0.177,0.161,0.165,0.176
Algeria,0.447,0.45,0.438,0.448,0.465,0.484,0.465,0.407,0.469,0.386,0.347,0.316,0.314,0.293,0.265,0.294,0.264,0.269,0.26,0.279,0.262,0.253,0.258,0.255,0.261
Angola,0.14,0.133,0.141,0.202,0.131,0.315,0.26,0.168,0.157,0.19,0.188,0.18,0.203,0.138,0.252,0.216,0.219,0.211,0.19,0.203,0.2,0.197,0.196,0.18,0.179
Antigua and Barbuda,0.399,0.358,0.341,0.325,0.295,0.31,0.304,0.298,0.291,0.287,0.274,0.285,0.296,0.298,0.287,0.266,0.237,0.223,0.224,0.269,0.296,0.289,0.281,0.277,0.266
Argentina,0.466,0.431,0.405,0.355,0.341,0.359,0.353,0.328,0.316,0.339,0.324,0.312,0.321,0.314,0.327,0.3,0.291,0.26,0.264,0.265,0.249,0.234,0.233,0.221,0.239
Armenia,,,1.25,0.586,0.577,0.666,0.464,0.557,0.534,0.457,0.485,0.443,0.331,0.321,0.301,0.306,0.264,0.261,0.263,0.239,0.223,0.244,0.258,0.237,0.226
Australia,0.892,0.85,0.842,0.821,0.776,0.746,0.751,0.72,0.7,0.68,0.653,0.612,0.605,0.569,0.543,0.527,0.515,0.489,0.485,0.452,0.451,0.418,0.399,0.351,0.328
Austria,0.386,0.386,0.34,0.333,0.318,0.318,0.324,0.309,0.299,0.28,0.265,0.276,0.266,0.277,0.263,0.258,0.232,0.213,0.201,0.184,0.192,0.174,0.159,0.154,0.141
Azerbaijan,,,1.69,1.85,1.96,1.73,1.57,1.39,1.33,1.1,1,0.869,0.804,0.741,0.692,0.561,0.462,0.279,0.288,0.235,0.213,0.231,0.236,0.22,0.221
Bahamas,0.378,0.349,0.357,0.33,0.31,0.291,0.271,0.214,0.249,0.228,0.213,0.191,0.184,0.176,0.193,0.183,0.166,0.162,0.144,0.163,0.16,0.176,0.177,0.255,0.214
Bahrain,1.1,0.914,0.769,0.894,0.886,0.837,0.832,0.88,0.882,0.816,0.784,0.559,0.601,0.582,0.563,0.561,0.502,0.643,0.658,0.604,0.593,0.558,0.491,0.538,0.506
Bangladesh,0.175,0.168,0.173,0.159,0.163,0.183,0.181,0.177,0.16,0.158,0.162,0.176,0.173,0.172,0.168,0.16,0.161,0.149,0.154,0.158,0.165,0.16,0.157,0.15,0.146
Barbados,0.429,0.485,0.408,0.45,0.29,0.308,0.299,0.297,0.358,0.374,0.344,0.354,0.348,0.345,0.338,0.33,0.307,0.292,0.337,0.351,0.324,0.331,0.313,0.307,0.265
Belarus,,,1.67,1.55,1.46,1.49,1.41,1.23,1.1,1.01,0.894,0.82,0.763,0.715,0.678,0.612,0.566,0.495,0.46,0.442,0.417,0.394,0.375,0.368,0.354
Belgium,0.57,0.567,0.551,0.522,0.517,0.494,0.512,0.477,0.476,0.439,0.404,0.387,0.343,0.352,0.333,0.312,0.288,0.265,0.257,0.245,0.255,0.221,0.202,0.199,0.185
