country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,128,176,297,264,301,381,429,400,334,363,436,359,191,312,304,400,425,451,576,352,315,334,385,385,392,400,425,444,367,337,279,249,22,18.3,14.7,14.7,7.33,3.67,3.67,3.67,3.67,69.7,55,91.7,91.7,106,161,748,1080,1540,2300,4310,3670,3940,4380
Albania,326,323,363,282,334,396,477,524,590,689,891,990,1080,1170,1210,1260,1270,1700,2130,2680,2320,2650,2880,3110,3400,3730,3710,3740,4020,4060,2500,1480,799,601,169,161,114,44,55,110,69.7,80.7,84.3,84.3,84.3,73.3,73.3,73.3,103,389,429,535,627,550,700
Algeria,1260,766,407,253,282,264,271,191,202,451,972,902,649,821,700,792,587,605,572,895,1610,1910,1980,3150,4030,3080,2730,2970,2980,2990,2940,2690,2380,1930,2290,1940,1410,1380,2110,2170,1970,2100,2610,2790,1930,2370,2700,3010,3010,1600,1220,1050,1040,726,546
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,125,62.3,91.7,22,77,55,88,55,103,91.7,47.7,29.3,7.33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,3910,3540,2010,2310,2560,2600,2590,2940,2370,2590,3290,2930,2860,2880,3370,3600,3240,2710,3840,3600,2870,2960,2660,2190,2150,2780,3400,3780,4030,4150,3070,2690,2810,2300,3560,3700,3100,2780,2840,2160,1660,1290,1100,1990,2200,3270,3870,3660,3880,3230,3990,4730,4330,2380,5820
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,7.33,95.3,7.33,14.7,14.7,14.7,7.33,0,0,47.7,73.3,0,3.67,3.67,14.7,18.3,0,11,7.33,7.33,3.67,0
Australia,59000,60000,61500,63800,67200,71100,71500,75500,76600,78000,74400,74300,77800,79800,85300,87000,88900,96300,104000,107000,118000,121000,124000,122000,128000,136000,135000,148000,151000,162000,143000,148000,151000,152000,151000,153000,166000,174000,185000,190000,190000,194000,198000,189000,196000,203000,209000,207000,208000,215000,206000,199000,195000,175000,163000
Austria,18100,17700,18100,19600,19000,18000,16900,15800,15400,15300,17800,15100,15600,15900,16600,14600,14300,12600,12800,14400,14200,14700,14100,14400,16900,16700,14700,14800,14300,13900,15700,16400,12800,11400,11600,13200,13300,14100,12400,12300,13900,14300,14600,15600,15200,15500,15600,14800,14300,10900,13000,13200,12300,12500,11500
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,11,3.67,14.7,14.7,14.7,3.67,0,0,0,0,0,0,0,0,22,14.7,14.7,22,18.3,14.7,11,7.33
