country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,-680,-584,-365,-296,-67.3,-887,-824,-358,-2140,-1360,-328,-322,-451,-419,-454,-170,-19,-119,97,84.8,127,-125,-437,-546,-941,-1270,-1340,-1210,-1350,-1260,-1600,-1500,-1850,-1560,-2070,-2370,-2700,-2160,-3400,-4350,-5390,-5990,-6530
Albania,20.9,51.1,82,111,142,169,207,237,257,297,328,349,366,414,450,464,489,239,560,457,486,547,626,611,628,620,627,625,151,176,1380,193,284,205,-469,664,367,2090,339,750,720,633,900
Algeria,1750,1220,-258,-1950,-550,347,-835,-1210,-999,433,640,2380,3490,4000,3230,1840,2850,3510,3890,3960,3670,3810,2520,2930,3020,3160,3200,3200,4030,3780,2800,2120,80.8,-1030,104,-1320,-1270,1390,-1010,-4690,-967,-2110,-8210
Angola,801,1100,411,-332,-536,-160,1990,-1460,-2180,-2190,-2270,-1650,-1600,-1830,-1990,-2080,-2160,-2390,-2330,-2380,624,325,34.9,201,125,227,267,266,818,693,866,873,873,830,1690,1610,604,613,-1820,-3650,-5360,-4730,-3710
Antigua and Barbuda,,,,,,,,,,,73.7,186,257,207,211,139,97.3,75.3,89.6,78.8,76.3,74.3,73.1,74.7,77.7,78.2,71.8,50.8,70.1,89.4,62.7,47.4,62.2,61.2,76.4,86.5,96.8,92.8,104,,,98.5,111
Argentina,17600,10600,14200,10600,11700,14300,17900,12900,15500,17600,19300,16800,17900,18200,14100,14900,16100,16200,16700,17300,19700,18100,17400,20700,9110,11600,12200,18800,28300,47800,46500,49500,44900,58400,67400,50400,54400,58600,71800,56100,38700,41400,48600
Armenia,-6430,-6400,-6920,-7430,-7950,-5770,-5970,-6080,-6190,-6300,-6380,-6200,-6030,-6030,-6110,-6110,-6030,-6330,-6020,-5960,463,467,377,344,315,313,384,315,265,234,290,278,291,329,493,425,560,383,2820,2600,2960,3320,3150
Australia,12300,9390,20500,10100,13500,18200,28100,28700,18400,29300,34000,17600,29800,19000,21000,36600,27900,9420,21000,23000,28000,32600,27500,23300,34800,17800,23500,417000,399000,647000,521000,655000,532000,439000,543000,314000,537000,426000,284000,482000,189000,182000,164000
Austria,705,1030,1090,1180,1040,1100,1130,1200,1300,1380,1360,1380,1330,1420,1840,1900,1960,1460,2280,2380,3280,2870,2710,2610,2740,2770,3500,3280,3660,3620,2050,1230,1190,1210,4380,4670,5520,5400,6010,8360,6920,6010,5300
Azerbaijan,-13900,-13900,-15000,-15600,-16200,-13200,-14100,-14900,-15800,-16400,-17100,-14700,-14900,-15400,-16300,-16300,-18200,-20700,-19600,-20400,10800,13400,,3840,4310,-357,1540,1510,3550,2500,2810,2530,1170,1880,2750,2700,2240,-89.4,3550,3330,5140,4360,4670
Bahamas,666,,,,,,,,,,,2610,2360,2360,2040,1390,997,830,862,843,817,758,676,663,704,707,692,474,729,800,571,430,517,489,623,793,856,756,875,820,778,643,772
Bahrain,46.2,169,1510,1280,1450,1440,1510,1500,1520,1570,1570,1620,2110,1300,2190,2160,1920,2150,1900,1930,2240,78.7,125,182,1.9,-16.7,-29.4,,,-54.7,,-119,-164,-131,3520,4040,5740,,,7030,8240,8780,9600
Bangladesh,8460,8530,8570,8600,8780,8800,8900,9200,9250,9290,9390,9430,9540,9630,11700,9730,9830,8520,9720,9820,9930,9940,9580,9430,9460,9630,9700,9730,-602,3660,-74.6,901,-1050,-1280,-550,-2830,-1900,-1620,-5680,-8770,-11400,-9720,-9410
Barbados,57.8,57.1,54.9,56.2,51.9,50.2,56.9,60.5,74.7,79.5,81.9,301,317,449,396,302,197,102,73.9,47,39.1,33.5,30.6,31.4,20.2,2.7,-27.2,-52.3,-55.4,13.3,-82.1,-135,-83.2,,,,,,,,,,46.9
Belarus,44300,44300,44200,43600,43200,45900,47200,48200,49400,50300,51900,50000,48000,46000,44200,42200,39900,39500,45800,47000,38500,41100,42600,40900,41500,40200,40000,40700,-1170,2000,788,-41.3,8230,592,-1790,636,-43,3840,5600,7890,7850,12800,12300
Belgium,-4460,71.9,162,754,619,644,843,763,844,1060,933,907,311,535,500,973,1210,1030,1010,715,717,521,813,861,619,2050,2360,2630,2600,2460,2110,2440,3550,3480,3570,3670,4260,4820,6270,10700,9850,20700,21900
Belize,-90.1,-86.1,-101,-100,-106,-111,-86.7,-115,-127,-113,-148,39.3,40.5,86,69.2,-12.4,-67.3,-114,-159,-173,-166,-167,-183,-189,-202,-181,-228,-288,29.9,156,665,-108,607,2490,28.9,905,145,640,254,307,132,170,195
Benin,28800,28200,27900,30100,24000,25500,26100,30400,26100,28400,34800,29400,33800,31600,31500,28900,29100,30300,28200,30500,37900,30700,35400,33100,32900,36400,35500,36100,40500,33900,30900,23700,37100,27500,21700,38500,25100,26000,21100,21100,16400,16300,16300
Bhutan,-638,-635,-481,-639,-664,-651,-568,-273,-604,-427,-547,-502,-515,-646,-592,-567,-506,-453,-451,-529,-552,-552,-454,-387,-589,-438,-434,-499,-160,1460,384,-204,-78,-199,-203,-240,-281,254,-339,-549,-225,-400,-393
Bolivia,141000,98900,120000,100000,107000,121000,139000,108000,130000,137000,146000,132000,140000,142000,112000,118000,126000,153000,129000,130000,149000,141000,150000,164000,117000,129000,133000,134000,97000,159000,52100,23800,66400,85500,159000,254000,125000,187000,77100,32600,55400,572000,572000
Bosnia and Herzegovina,3160,3400,2670,2890,3620,-567,-419,-211,744,843,4440,-4360,-2940,-1400,-2090,-1790,-2880,-1850,1800,-290,1020,902,686,542,677,675,649,682,676,1200,3920,903,-876,-274,463,361,335,1010,-1360,-1170,-523,-2600,-1500
Botswana,363,382,417,456,475,551,259,313,313,341,458,-492,-598,-541,-516,-397,-502,-550,-644,-706,-1080,-970,-1520,-1580,-1260,-1340,-1160,-1180,23600,23800,28900,40900,36500,6210,12400,11900,33100,15500,62600,12200,69900,70500,70400
Brazil,842000,595000,720000,604000,645000,729000,842000,654000,787000,832000,885000,806000,849000,866000,687000,727000,771000,933000,792000,801000,914000,866000,916000,1000000,716000,786000,812000,819000,1380000,734000,378000,391000,679000,671000,938000,1300000,668000,1730000,526000,231000,1830000,1830000,1850000
Brunei,7580,4780,6130,9080,5040,5000,4910,7670,9300,8090,9360,8140,8060,15500,8880,7450,9030,12100,9450,6470,10900,9730,14300,11700,10300,11800,8890,8800,3570,423,538,589,670,443,581,604,678,1070,803,850,2050,2200,2810
Bulgaria,-2150,-2140,-2170,-2490,-3150,-3040,-3240,-3080,47.9,583,535,442,-116,-292,-616,-407,-486,-1120,14.2,8.52,1210,49.7,-32.5,-923,-680,-2.3,-85.8,846,139,281,344,1370,219,499,799,-23.6,317,-752,1590,3400,2870,2880,-1510
Burkina Faso,-179,-170,-225,-170,-170,-223,-141,-156,-143,-163,-133,-134,-144,-113,-94.7,-115,-47.2,-193,-100,-156,-15.7,-95.4,-158,-130,-224,-250,-223,-83.9,29700,26200,30700,24200,33300,26100,24700,28100,21000,20900,17900,19900,19400,19400,19300
Burundi,-128,-119,-132,-123,-124,-139,-112,-120,-117,-143,-143,-125,-152,-124,-94.2,-101,-92.1,-159,-106,-105,-13.3,-51,-80.6,-54.9,-127,-137,-114,-199,2980,91.7,783,28.3,1620,1750,1740,1620,1800,1580,1690,1770,1680,1710,1740
Cambodia,-334,-333,-372,-373,-399,-473,-455,-583,-525,-555,-572,-557,-598,-219,-254,-201,-401,-522,-309,-327,-411,-338,-267,-294,-346,-941,-970,-1010,94100,33200,21900,41800,83200,79900,150000,72100,66100,130000,68700,42900,70600,70300,70100
Cameroon,49600,48500,47900,51500,41500,44000,44900,51900,44700,48400,58800,50200,57300,56200,56600,51400,53000,54600,48700,54000,66600,54600,62300,58600,51500,57200,56400,57500,127000,104000,128000,82300,97600,137000,66100,130000,88200,66700,75300,71200,58000,58400,61000
Canada,-56200,-49200,-78400,-78200,-69700,-66700,-37500,-54900,-78600,-9420,30300,36800,-43800,-45700,-70200,-66500,-62700,-70000,-55000,64800,-69200,-60100,-88900,-68100,16400,417,-105000,-113000,268000,-11700,-115000,-153000,17500,75600,150000,-20500,51300,37300,40800,-66100,-61200,209000,196000
Cape Verde,88.5,88.6,92,99,104,108,88.3,100,94.2,106,119,92.3,49,47.4,57.5,55.1,14.8,5.14,32.3,37.1,36.1,34.2,32.2,34,40.3,39.3,42.1,40.4,44.3,48.1,84.9,58.8,61.9,63.1,73.9,94.3,,,75.1,75.8,,,
Central African Republic,41200,40300,39800,42800,34300,36300,37100,42900,36900,39900,48800,41200,47200,44100,43800,40100,40400,42000,39200,42300,52700,42600,49200,45900,45600,50400,49200,50100,500000,384000,441000,375000,300000,476000,293000,399000,396000,375000,391000,267000,328000,328000,328000
Chad,-107,-107,-120,-116,-115,-132,-128,-136,-143,-174,-178,-183,-187,-170,-213,-214,-171,-252,-278,-283,-162,-230,-258,-323,-473,-499,-497,-609,91300,103000,108000,83200,106000,109000,100000,101000,94700,98000,85400,70100,75500,75400,75300
Chile,-211,-1380,-1600,-1940,-1340,-1280,-1550,-1010,-722,-697,-265,249,479,606,330,527,767,761,873,896,4480,4200,4820,4880,4730,4340,4390,5150,13700,14900,11900,14100,14000,15300,15800,15600,14200,16500,11300,14900,14300,10700,15100
China,50700,52000,58200,64500,65000,76100,81600,95400,102000,98800,110000,107000,113000,131000,143000,146000,162000,54600,205000,222000,230000,250000,280000,194000,220000,228000,351000,250000,197000,200000,-13900,-141000,-143000,-104000,-65000,-169000,-171000,-326000,290000,288000,52600,21800,142000
Colombia,43900,29500,36600,29800,30700,41400,47900,36900,44600,47200,50500,45800,48300,49200,38800,41000,43600,51100,44800,42900,52000,49000,52000,57000,40800,44800,48100,47300,23800,19900,27500,18400,14100,28000,37600,11400,10400,31200,19200,15000,11300,6700,10700
