country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,14300,14400,13000,13500,14900,14600,14700,15200,15100,14900,15700,15800,15600,15300,14300,13500,12300,12400,13000,12300,12500,12300,11400,11400,11300,11600,12500,13300,13800,14800,13500,12600,13800,14700,14700,14800,14800,15300,15300,15600,17800,18000,18200
Albania,6960,6950,7610,7350,7630,7870,8470,8950,10000,11200,11400,10500,10700,11600,12200,11800,12100,12200,12600,12600,11100,8270,6230,6070,6790,6420,6190,5500,5250,6490,8390,6820,7500,7830,7400,8310,8030,9880,8140,8110,8510,8710,8900
Algeria,34600,38900,53700,67600,59300,56000,68700,74900,82000,84400,83300,79900,83100,89100,92800,104000,108000,107000,108000,110000,106000,112000,122000,122000,119000,124000,124000,124000,127000,133000,134000,129000,131000,140000,140000,146000,152000,157000,160000,161000,168000,172000,176000
Angola,60600,39200,42200,44300,40200,44400,38400,43600,46200,56600,48000,41900,45200,44900,35900,36700,36000,46700,35700,39300,50800,43800,65000,39800,44700,48200,47100,33100,35300,36100,34800,34400,34500,35900,36900,35900,36400,36700,37400,38300,40000,40900,41700
Antigua and Barbuda,,,,,,,,,,,313,430,551,419,456,365,340,340,388,371,372,373,372,359,381,392,390,362,379,404,399,399,406,419,449,454,464,478,492,,,538,553
Argentina,222000,214000,224000,227000,229000,233000,247000,247000,248000,256000,254000,246000,244000,249000,243000,238000,251000,257000,266000,266000,267000,267000,272000,277000,271000,275000,288000,300000,312000,334000,331000,326000,311000,345000,370000,358000,374000,385000,412000,373000,365000,373000,380000
Armenia,6250,6380,6750,7370,7980,11600,11900,12400,12900,13500,14500,15100,15800,15900,16000,16300,16500,16500,17600,17500,24700,25400,14500,8360,6110,6710,5990,6720,6740,6390,6870,6900,6460,6970,7630,8400,8740,9320,12500,11200,11400,12400,12300
Australia,319000,314000,355000,333000,356000,378000,408000,415000,378000,412000,434000,388000,429000,387000,398000,457000,435000,413000,435000,461000,482000,499000,487000,479000,522000,489000,509000,921000,921000,1190000,1080000,1240000,1120000,1020000,1140000,909000,1120000,1070000,893000,1110000,782000,786000,762000
Austria,68400,71100,73500,77400,75100,72700,78100,75700,77900,80600,78800,75500,73100,73200,75500,76900,75500,75200,75000,74500,79800,83300,79200,79400,79800,82500,85600,84700,85700,83900,82700,85900,87400,92700,96300,97600,95600,93300,94600,89000,94200,92300,90500
Azerbaijan,26300,26700,28200,30900,33600,41500,42800,44500,46300,48400,51100,55400,56900,58600,59800,61400,62700,63000,65200,64800,78100,79000,,52500,48500,42500,39000,37700,40000,40500,42600,41500,40300,44100,45000,47600,48500,45100,53800,49600,50700,54000,56500
Bahamas,3560,,,,,,,,,,,5980,5160,4570,4340,3440,3150,3170,3340,3550,3590,3470,3080,2960,3180,3530,3860,3540,3680,3580,3190,3150,3260,3560,3730,3850,4010,4130,4340,4340,4570,4730,4870
