country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albania,0,,,,,,,,,,15.5,,,,,61.8,,,86.9,,105
Algeria,0,,,,,,,,,,60.5,,,,,167,,,230,,275
Angola,0,,,,,,,,,,0.7,,,,,19.3,,,26.5,,31
Argentina,206,,,,,,,,,,63,,,,,218,,,340,,506
Armenia,0,,,,,,,,,,42,,,,,332,,,470,,565
Australia,613,,,,,,,,,,2550,,,,,5150,,,6860,,7990
Austria,30.9,,,,,,,,,,1020,,,,,1890,,,2470,,2840
Azerbaijan,0,,,,,,,,,,8.5,,,,,55.4,,,73.1,,86
Bahrain,0,,,,,,,,,,0,,,,,0,,,0,,0
Bangladesh,0,,,,,,,,,,0,,,,,0,,,0,,0
Belarus,0,,,,,,,,,,108,,,,,440,,,612,,516
Belgium,0.5,,,,,,,,,,998,,,,,1880,,,2470,,2660
Benin,0,,,,,,,,,,0,,,,,0,,,0,,0
Bolivia,0,,,,,,,,,,0,,,,,0,,,0,,0
Bosnia and Herzegovina,0,,,,,,,,,,79.8,,,,,423,,,618,,755
Botswana,0,,,,,,,,,,0,,,,,0,,,0,,0
Brazil,1930,,,,,,,,,,147,,,,,1790,,,2710,,3340
Brunei,0,,,,,,,,,,101,,,,,256,,,355,,427
Bulgaria,0,,,,,,,,,,103,,,,,362,,,508,,648
Cambodia,0,,,,,,,,,,0,,,,,0,,,0,,0
Cameroon,0,,,,,,,,,,0,,,,,0,,,0,,0
Canada,419,,,,,,,,,,6200,,,,,11900,,,15500,,21600
Chile,0,,,,,,,,,,0,,,,,0,,,0,,0
China,5970,,,,,,,,,,38100,,,,,147000,,,153000,,184000
Colombia,0,,,,,,,,,,0,,,,,0,,,0,,0
"Congo, Dem. Rep.",0,,,,,,,,,,0,,,,,0,,,0,,0
"Congo, Rep.",0,,,,,,,,,,0.8,,,,,4.7,,,6.7,,8
Costa Rica,0,,,,,,,,,,25.2,,,,,61.5,,,83.2,,98
Cote d'Ivoire,0,,,,,,,,,,0,,,,,0,,,0,,0
Croatia,0,,,,,,,,,,16.3,,,,,47.5,,,66.3,,78
Cuba,0,,,,,,,,,,34.2,,,,,128,,,186,,226
Cyprus,0,,,,,,,,,,78.4,,,,,188,,,256,,304
Czech Republic,0.1,,,,,,,,,,400,,,,,1080,,,1460,,3610
Denmark,0.3,,,,,,,,,,662,,,,,1250,,,1630,,1690
Dominican Republic,0,,,,,,,,,,0,,,,,0,,,0,,0
Ecuador,0,,,,,,,,,,19.7,,,,,62.2,,,86.7,,104
Egypt,0,,,,,,,,,,94.7,,,,,315,,,440,,527
El Salvador,0,,,,,,,,,,41.4,,,,,76.4,,,99.6,,116
Eritrea,0,,,,,,,,,,0,,,,,0,,,0,,0
Estonia,0,,,,,,,,,,7.8,,,,,33.8,,,47.6,,58
Ethiopia,0,,,,,,,,,,3.6,,,,,10.3,,,13.3,,16
Finland,0.1,,,,,,,,,,378,,,,,755,,,1000,,1200
France,4650,,,,,,,,,,9410,,,,,12700,,,16900,,18900
Gabon,0,,,,,,,,,,2.9,,,,,8.4,,,11.8,,14
Georgia,0,,,,,,,,,,2.5,,,,,11.8,,,16.7,,20
Germany,2580,,,,,,,,,,11300,,,,,14700,,,19500,,19800
Ghana,0,,,,,,,,,,1.9,,,,,7.8,,,11.2,,13
Greece,507,,,,,,,,,,2370,,,,,1910,,,1000,,1200
Guatemala,0.1,,,,,,,,,,158,,,,,478,,,666,,797
Haiti,0,,,,,,,,,,0,,,,,0,,,0,,0
Honduras,0,,,,,,,,,,0,,,,,0,,,0,,0
Hungary,0.1,,,,,,,,,,428,,,,,1190,,,1650,,1750
Iceland,0,,,,,,,,,,22.3,,,,,46.6,,,61.8,,81
India,1700,,,,,,,,,,8110,,,,,9850,,,13600,,13400
Indonesia,0,,,,,,,,,,0,,,,,0,,,0,,0
Iran,0,,,,,,,,,,0,,,,,0,,,0,,0
Iraq,0,,,,,,,,,,0,,,,,0,,,0,,0
Ireland,1.2,,,,,,,,,,416,,,,,860,,,1150,,1190
Israel,4.6,,,,,,,,,,692,,,,,1310,,,1690,,1970
Italy,1970,,,,,,,,,,7100,,,,,9110,,,11900,,14100
Jamaica,0,,,,,,,,,,17.8,,,,,50.3,,,70.3,,84
Japan,9150,,,,,,,,,,34100,,,,,40800,,,52900,,60300
Jordan,0,,,,,,,,,,19.7,,,,,110,,,159,,193
Kazakhstan,0,,,,,,,,,,57.5,,,,,337,,,483,,584
Kenya,0,,,,,,,,,,0,,,,,0,,,0,,0
Kuwait,0.1,,,,,,,,,,147,,,,,540,,,779,,948
Kyrgyz Republic,0,,,,,,,,,,7.9,,,,,24,,,34.8,,42
Latvia,0.1,,,,,,,,,,190,,,,,877,,,1230,,1350
Lebanon,0,,,,,,,,,,0,,,,,0,,,0,,0
Libya,0,,,,,,,,,,0,,,,,0,,,0,,0
Lithuania,0.1,,,,,,,,,,165,,,,,642,,,916,,1290
Luxembourg,0.1,,,,,,,,,,51.1,,,,,99.5,,,131,,145
Malaysia,0.1,,,,,,,,,,6.9,,,,,26.1,,,39.2,,48
Malta,0,,,,,,,,,,50,,,,,114,,,153,,173
Mexico,1600,,,,,,,,,,3350,,,,,7060,,,8800,,8490
Moldova,0,,,,,,,,,,1.9,,,,,8,,,11.3,,14
Mongolia,0,,,,,,,,,,0,,,,,0,,,0,,0
Montenegro,,,,,,,,,,,,,,,,,,,,,0
Morocco,0,,,,,,,,,,0,,,,,0,,,0,,0
Mozambique,0,,,,,,,,,,18.8,,,,,75.2,,,108,,131
Myanmar,0,,,,,,,,,,0,,,,,0,,,0,,0
Namibia,0,,,,,,,,,,0,,,,,0,,,0,,0
Nepal,0,,,,,,,,,,0,,,,,0,,,0,,0
Netherlands,2790,,,,,,,,,,6200,,,,,3120,,,3990,,4610
New Zealand,0.2,,,,,,,,,,347,,,,,722,,,971,,1200
Nicaragua,0,,,,,,,,,,0,,,,,0,,,0,,0
Nigeria,0,,,,,,,,,,88.1,,,,,339,,,477,,574
North Korea,0.2,,,,,,,,,,1760,,,,,2790,,,3690,,4240
North Macedonia,0,,,,,,,,,,51.8,,,,,119,,,158,,185
Norway,0,,,,,,,,,,162,,,,,319,,,422,,465
Oman,0,,,,,,,,,,8.6,,,,,174,,,267,,332
Pakistan,0,,,,,,,,,,0,,,,,0,,,0,,0
Panama,0,,,,,,,,,,0,,,,,0,,,0,,0
Paraguay,0,,,,,,,,,,0,,,,,0,,,0,,0
Peru,0,,,,,,,,,,103,,,,,328,,,452,,539
Philippines,0,,,,,,,,,,0,,,,,0,,,0,,0
Poland,0.1,,,,,,,,,,667,,,,,1740,,,2380,,2040
Portugal,0.2,,,,,,,,,,353,,,,,648,,,854,,1050
Qatar,0,,,,,,,,,,0,,,,,0,,,0,,0
Romania,0,,,,,,,,,,118,,,,,419,,,596,,758
Russia,5040,,,,,,,,,,16800,,,,,24200,,,28600,,26900
Saudi Arabia,0.1,,,,,,,,,,75.5,,,,,197,,,267,,316
Senegal,0,,,,,,,,,,0,,,,,0,,,0,,0
Serbia,0.5,,,,,,,,,,1660,,,,,4290,,,5980,,7200
Singapore,12.6,,,,,,,,,,729,,,,,1430,,,1880,,2210
Slovak Republic,0,,,,,,,,,,109,,,,,320,,,442,,1520
Slovenia,0,,,,,,,,,,144,,,,,356,,,486,,539
South Africa,0.2,,,,,,,,,,255,,,,,525,,,692,,811
South Korea,1900,,,,,,,,,,8370,,,,,4930,,,2510,,2840
Spain,1950,,,,,,,,,,3300,,,,,6300,,,8600,,9970
Sri Lanka,0,,,,,,,,,,0,,,,,0,,,0,,0
Sudan,0,,,,,,,,,,0,,,,,0,,,0,,0
Sweden,0.2,,,,,,,,,,569,,,,,1130,,,1500,,1590
Switzerland,0.3,,,,,,,,,,848,,,,,1610,,,2120,,2280
Syria,0,,,,,,,,,,0,,,,,0,,,0,,0
Tajikistan,0,,,,,,,,,,2.5,,,,,11.9,,,17.2,,21
Tanzania,0,,,,,,,,,,0,,,,,0,,,0,,0
Thailand,0,,,,,,,,,,0,,,,,0,,,0,,0
Togo,0,,,,,,,,,,0,,,,,0,,,0,,0
Trinidad and Tobago,0,,,,,,,,,,0,,,,,0,,,0,,0
Tunisia,0,,,,,,,,,,0,,,,,0,,,0,,0
Turkey,0,,,,,,,,,,994,,,,,2890,,,3950,,4700
Turkmenistan,0,,,,,,,,,,10.9,,,,,72.9,,,112,,139
Ukraine,0.1,,,,,,,,,,54.7,,,,,227,,,334,,436
United Arab Emirates,0,,,,,,,,,,0,,,,,0,,,0,,0
United Kingdom,2620,,,,,,,,,,6330,,,,,9040,,,11800,,13300
United States,29200,,,,,,,,,,113000,,,,,186000,,,240000,,301000
Uruguay,0,,,,,,,,,,29.3,,,,,58.7,,,71.8,,81
Uzbekistan,0,,,,,,,,,,192,,,,,603,,,826,,981
Venezuela,990,,,,,,,,,,469,,,,,738,,,1310,,1860
Vietnam,0,,,,,,,,,,0,,,,,0,,,0,,0
Yemen,0,,,,,,,,,,0,,,,,0,,,0,,0
Zambia,0,,,,,,,,,,0.1,,,,,0.4,,,0.5,,1
Zimbabwe,0,,,,,,,,,,0,,,,,0,,,0,,0
