country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,3040,3010,2530,2670,2940,3150,3270,3270,3270,3210,3280,3260,3330,3190,3060,2860,2520,2680,2770,2770,2750,2760,2720,2770,2590,2740,2950,3180,3330,3600,3320,3060,3370,3340,3350,3410,3430,3470,3500,3340,3360,3390,3420
Albania,742,756,757,804,819,818,925,1010,1210,1230,1240,1290,1250,1480,1460,1470,1540,1490,1540,1690,1560,1010,1010,934,1070,982,901,849,930,926,1260,927,989,955,1030,1030,1080,1070,1110,1140,1120,1130,1150
Algeria,2360,2720,2770,2600,2350,2770,2910,3120,2830,3090,3420,3130,3600,3740,3940,4000,4100,4340,4090,4090,4260,4150,4300,4410,4100,3640,3520,3730,4170,4470,4600,4710,4680,4740,4840,4880,4470,5560,5640,6140,6260,6320,6380
Andorra,0.0238,0.0234,0.023,0.0226,0.0222,0.0218,0.0214,0.0209,0.0205,0.0201,0.0197,0.0193,0.0189,0.0185,0.0181,0.0177,0.0173,0.0169,0.0165,0.0161,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157,0.0157
Angola,28400,15800,16800,17600,15000,17600,14800,16800,17300,23100,17700,14200,16200,15600,10100,9940,9370,15500,8690,10700,17700,13400,25500,10800,14100,14700,11600,2730,2860,2820,3000,3070,3150,3230,3060,3050,3410,3150,3280,3480,3570,3610,3640
Antigua and Barbuda,10.2,11.2,11.1,11.5,11.1,11.5,11.9,12.3,13.7,14.8,16.9,16.1,18.5,16.2,17.5,17.9,16.5,16.5,18.2,16.7,16.7,16.9,17.2,17,17.8,18.3,18.9,19.6,21.5,22,21.4,21.6,21.8,22.5,23.4,23.3,23.6,24,24.4,24.9,25.4,25.6,25.9
Argentina,32300,30700,32700,33000,33200,34400,36300,35800,36000,36600,36100,35100,35100,35500,35500,35300,35500,36100,36800,35700,38500,37800,38900,39000,38000,38500,39800,39300,40100,41900,42100,44800,44300,49100,48000,50000,51200,53100,54100,44700,52100,52600,53100
Armenia,528,558,581,605,630,666,664,682,695,707,729,734,744,775,789,808,813,822,808,780,805,780,650,559,490,468,485,472,470,449,462,468,478,472,588,583,628,662,731,845,986,1000,1020
Australia,52400,49800,61300,48500,53500,59300,69400,66300,54300,65200,68800,50400,62600,52200,53200,69400,60200,51100,52700,56000,62900,67900,61400,57700,73000,57500,60500,64800,63500,70600,75600,81500,73200,69500,69600,62300,57400,77300,57200,60600,51500,52900,54200
Austria,5860,6100,6170,6470,6590,6490,6620,6730,6800,6840,6840,6720,6310,6280,6260,5980,5760,5450,5740,5330,5310,5320,6640,6800,6760,6540,5220,5140,5230,5350,5310,4730,4630,4670,4130,4100,4070,4010,4030,3760,3760,3780,3790
Azerbaijan,1860,1950,2000,2100,2170,2290,2270,2330,2350,2370,2420,2430,2440,2530,2590,2640,2710,2730,2700,2620,2670,2610,2230,2030,1930,1850,1790,1870,1890,1980,2030,2150,2270,2420,2440,2560,2490,2550,2620,2670,2650,2660,2670
Bahamas,41.2,41.3,43.4,47.6,40.9,49.8,51.1,53.3,56.2,51.6,59.5,67.2,65.7,56,58.7,50.4,47.8,49.1,55.5,58.4,59.7,58.2,56.2,52.4,56.4,68.2,75.6,74,92.5,80,80,78.7,80.7,88.4,92.5,94.9,101,106,112,120,128,130,131
Bahrain,13.4,13.7,15.8,19.4,21.9,25.8,29.5,34,36.9,38.7,39.7,45,47.4,52.6,53.3,58.6,68.6,63.2,66.6,69.3,72.6,71.7,77,76.7,77.9,78.2,81.3,82,93.2,88.5,91.1,93.1,102,105,109,116,117,122,120,122,129,130,131
Bangladesh,9830,9460,9930,10100,9780,10600,10900,11400,12100,12600,11500,11500,12000,12400,13100,13100,13700,14200,15100,16200,16200,18200,18700,19600,20500,21500,22400,21100,21400,21100,20800,20500,20400,20700,21200,21400,21600,22000,22300,24400,26200,26400,26700
Barbados,62.9,57,59.3,58.8,52.2,51,53.4,52,58.4,56.1,60.4,61.8,62.5,61.3,62.8,59.4,61.9,69.5,68.5,70.7,69.9,71.2,70.4,65.3,65.3,66.5,66.7,65.6,66.8,68,69.4,61.7,54.8,53.9,55,55.7,55.1,56.2,57.1,56.2,57.5,58.1,58.7
Belarus,15600,16300,16900,17700,18600,19200,19300,19400,19500,19500,19600,19300,19100,20000,19800,20000,20000,20200,19800,18700,20100,18100,16000,14500,13100,13100,13300,13200,12700,12100,11500,10900,11400,11000,11500,11900,12100,12400,12500,12900,13500,13700,13900
Belgium,10700,11400,11600,11800,13400,11200,11300,12700,13300,13500,13600,14000,13200,13900,15000,14600,14100,13600,13000,12600,9830,10500,10500,10600,11500,12000,13500,13200,13100,12400,11800,9650,9450,8530,8560,8720,8740,8960,8930,9060,10100,8780,8500
Belize,85.6,84.2,87.4,88.5,95.5,98,90.1,97.4,102,116,108,97.1,122,106,112,112,118,130,129,123,130,144,134,139,128,121,128,119,118,129,147,135,134,144,136,142,144,144,145,167,196,198,200
Benin,2630,2560,2550,2790,2150,2340,2430,2870,2460,2680,3350,2800,3250,3070,3080,2830,2790,2900,2690,2930,3730,2980,3480,3250,3310,3610,3630,3740,3400,3460,3340,3050,3510,2830,3130,2920,2930,3870,5140,5160,4770,4820,4870
Bhutan,119,121,123,126,128,129,132,135,140,143,146,150,154,157,162,166,166,170,167,171,179,180,175,176,177,188,186,188,212,313,281,237,220,206,215,216,315,221,245,314,544,550,555
Bolivia,12900,8590,10900,8890,9850,11400,13400,10100,12700,13500,14300,12800,13400,13900,10500,11500,12100,15000,12500,12600,14600,13800,14800,16200,11400,12900,13500,13800,11200,21600,11300,11200,12800,10400,28000,15300,9140,8940,8780,9030,9540,9640,9730
Bosnia and Herzegovina,1310,1330,1290,1330,1400,1390,1360,1370,1350,1340,1340,1310,1330,1340,1370,1320,1290,1290,1300,1230,1260,1150,1000,971,804,744,629,704,963,1070,1670,922,917,1160,977,992,1000,1090,1030,1110,1100,1110,1120
Botswana,5640,2830,3260,3570,3140,3950,3640,4320,4410,5820,4780,4110,4640,4490,3260,3220,3060,4480,3050,3630,5390,4110,6740,3220,4120,4540,3630,3460,2630,2660,2500,4200,4770,2710,2770,3060,1960,2080,1960,2120,2180,2210,2230
Brazil,108000,89500,103000,95000,105000,114000,129000,117000,126000,132000,143000,135000,139000,140000,130000,135000,140000,157000,146000,150000,157000,157000,166000,178000,162000,172000,168000,173000,193000,182000,169000,182000,188000,203000,221000,238000,187000,190000,191000,190000,208000,211000,215000
Brunei,440,291,363,514,294,288,280,423,508,440,522,453,451,837,481,408,476,636,498,344,571,510,747,609,536,613,465,468,2420,546,395,418,412,400,371,654,372,352,332,334,336,339,342
Bulgaria,10100,10000,10500,10400,10800,12200,11900,12200,11900,12300,12600,13000,12700,12800,11900,12100,11800,11500,15000,10100,9270,7770,5840,4970,5170,8560,8670,7670,5070,4500,5040,4750,3940,3900,4170,3910,3760,3760,3790,3800,4480,4560,4650
Burkina Faso,2520,2490,2360,2380,2110,2250,2330,2580,2410,2570,2930,2730,3040,2990,3040,3190,3330,3480,3480,3680,4200,3940,4310,4330,4470,4780,4900,5140,5210,5330,5570,5740,5600,5910,6240,6520,6630,7630,7280,7520,7220,7290,7370
