country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Albania,0,,,,,,,,,,0,,,,,0,,,0,,0
Algeria,0,,,,,,,,,,0,,,,,0,,,0,,0
Angola,0,,,,,,,,,,0,,,,,0,,,0,,0
Argentina,1940,,,,,,,,,,122,,,,,101,,,127,,134
Armenia,0,,,,,,,,,,0,,,,,0,,,0,,0
Australia,3880,,,,,,,,,,1180,,,,,847,,,842,,567
Austria,996,,,,,,,,,,107,,,,,159,,,197,,236
Azerbaijan,176,,,,,,,,,,32.8,,,,,210,,,262,,197
Bahrain,2540,,,,,,,,,,236,,,,,279,,,321,,320
Bangladesh,0,,,,,,,,,,0,,,,,0,,,0,,0
Belarus,2.6,,,,,,,,,,23.9,,,,,23.4,,,23.1,,23
Belgium,2.9,,,,,,,,,,25.2,,,,,25.7,,,26,,26
Benin,0,,,,,,,,,,0,,,,,0,,,0,,0
Bolivia,0,,,,,,,,,,0,,,,,0,,,0,,0
Bosnia and Herzegovina,617,,,,,,,,,,330,,,,,144,,,136,,130
Botswana,0,,,,,,,,,,0,,,,,0,,,0,,0
Brazil,4960,,,,,,,,,,4120,,,,,5620,,,6220,,5750
Brunei,0,,,,,,,,,,0,,,,,0,,,0,,0
Bulgaria,2.2,,,,,,,,,,19.1,,,,,18.5,,,18.2,,18
Cambodia,0,,,,,,,,,,0,,,,,0,,,0,,0
Cameroon,932,,,,,,,,,,515,,,,,418,,,422,,353
Canada,8600,,,,,,,,,,7110,,,,,6240,,,5940,,4210
Chile,0.2,,,,,,,,,,0.2,,,,,0.2,,,0.2,,0
China,4670,,,,,,,,,,8030,,,,,10600,,,13500,,8440
Colombia,0.2,,,,,,,,,,0.2,,,,,0.2,,,0.2,,0
"Congo, Dem. Rep.",0,,,,,,,,,,0,,,,,0,,,0,,0
"Congo, Rep.",0,,,,,,,,,,0,,,,,0,,,0,,0
Costa Rica,0,,,,,,,,,,0,,,,,0,,,0,,0
Cote d'Ivoire,0,,,,,,,,,,0,,,,,0,,,0,,0
Croatia,890,,,,,,,,,,63,,,,,10.9,,,11,,11
Cuba,0,,,,,,,,,,0,,,,,0,,,0,,0
Cyprus,0,,,,,,,,,,0,,,,,0,,,0,,0
Czech Republic,2.8,,,,,,,,,,28.8,,,,,27.5,,,33.3,,40
Denmark,1.4,,,,,,,,,,23.4,,,,,21.5,,,21.4,,21
Dominican Republic,0,,,,,,,,,,0,,,,,0,,,0,,0
Ecuador,0,,,,,,,,,,0,,,,,0,,,0,,0
Egypt,1280,,,,,,,,,,1360,,,,,1750,,,1860,,1900
El Salvador,0,,,,,,,,,,0,,,,,0,,,0,,0
Eritrea,0,,,,,,,,,,0,,,,,0,,,0,,0
Estonia,0.5,,,,,,,,,,3.5,,,,,3.4,,,3.4,,3
Ethiopia,0,,,,,,,,,,0,,,,,0,,,0,,0
Finland,1.7,,,,,,,,,,29.7,,,,,16.7,,,8.4,,9
France,1580,,,,,,,,,,1140,,,,,695,,,569,,435
Gabon,0,,,,,,,,,,0,,,,,0,,,0,,0
Georgia,0,,,,,,,,,,0,,,,,0,,,0,,0
Germany,4400,,,,,,,,,,1660,,,,,1390,,,1100,,888
Ghana,596,,,,,,,,,,146,,,,,6.9,,,0,,0
Greece,1680,,,,,,,,,,311,,,,,138,,,135,,104
Guatemala,0,,,,,,,,,,0,,,,,0,,,0,,0
Haiti,0,,,,,,,,,,0,,,,,0,,,0,,0
Honduras,0,,,,,,,,,,0,,,,,0,,,0,,0
Hungary,683,,,,,,,,,,309,,,,,284,,,2.7,,3
Iceland,1030,,,,,,,,,,105,,,,,102,,,293,,123
India,2100,,,,,,,,,,2010,,,,,1120,,,1550,,1740
Indonesia,658,,,,,,,,,,171,,,,,134,,,130,,135
Iran,204,,,,,,,,,,129,,,,,109,,,104,,104
Iraq,0,,,,,,,,,,0,,,,,0,,,0,,0
Ireland,1.4,,,,,,,,,,416,,,,,222,,,83.6,,40
Israel,43.8,,,,,,,,,,90.5,,,,,109,,,122,,123
Italy,871,,,,,,,,,,384,,,,,394,,,409,,457
Jamaica,0,,,,,,,,,,0,,,,,0,,,0,,0
Japan,4700,,,,,,,,,,9030,,,,,7620,,,6500,,6710
Jordan,0,,,,,,,,,,0,,,,,0,,,0,,0
Kazakhstan,0,,,,,,,,,,0,,,,,0,,,0,,0
Kenya,0,,,,,,,,,,0,,,,,0,,,0,,0
Kuwait,0,,,,,,,,,,0,,,,,0,,,0,,0
Kyrgyz Republic,0,,,,,,,,,,0,,,,,0,,,0,,0
Latvia,0.7,,,,,,,,,,5.7,,,,,5.5,,,5.5,,5
Lebanon,0,,,,,,,,,,0,,,,,0,,,0,,0
Libya,0,,,,,,,,,,0,,,,,0,,,0,,0
Lithuania,0.9,,,,,,,,,,8.4,,,,,8.2,,,8.2,,8
Luxembourg,0.1,,,,,,,,,,1,,,,,1.1,,,1.2,,1
Malaysia,0.6,,,,,,,,,,90.1,,,,,341,,,511,,357
Malta,0,,,,,,,,,,0,,,,,0,,,0,,0
Mexico,516,,,,,,,,,,554,,,,,0,,,0,,28
Moldova,0,,,,,,,,,,0,,,,,0,,,0,,0
Mongolia,0,,,,,,,,,,0,,,,,0,,,0,,0
Montenegro,,,,,,,,,,,,,,,,,,,,,0
Morocco,0,,,,,,,,,,0,,,,,0,,,0,,0
Mozambique,0,,,,,,,,,,24.9,,,,,206,,,199,,207
Myanmar,0,,,,,,,,,,0,,,,,0,,,0,,0
Namibia,0,,,,,,,,,,0,,,,,0,,,0,,0
Nepal,0,,,,,,,,,,0,,,,,0,,,0,,0
Netherlands,3100,,,,,,,,,,980,,,,,351,,,329,,303
New Zealand,892,,,,,,,,,,353,,,,,192,,,166,,185
Nicaragua,0,,,,,,,,,,0,,,,,0,,,0,,0
Nigeria,0,,,,,,,,,,0,,,,,0,,,7.4,,15
North Korea,0,,,,,,,,,,0,,,,,0,,,0,,0
North Macedonia,0,,,,,,,,,,0,,,,,0,,,0,,0
Norway,6320,,,,,,,,,,4600,,,,,4570,,,4540,,1200
Oman,0,,,,,,,,,,0,,,,,0,,,0,,29
