country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Albania,,,,,1.53,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,-7.88,,,,,,,,,
Antigua and Barbuda,-0.0968,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,-43.3,,,,,,,,,
Australia,43.1,166,125,-22.9,-19.7,105,-1.7,-9.34,127,10.5,-13.5,-42.5,333,167,-195,44.8,48.2,342,69.5,54
Austria,-13.7,-19.6,-14.5,-18.4,-17.1,-16.4,-11.6,-20.4,-18.4,-22.8,-17.5,-20.1,-16.4,-17.8,-17.7,-17.7,-17.7,-17.6,-17.6,-17.5
Azerbaijan,,,,,-1.07,,,,,,,,,,,,,,,
Bangladesh,,,,,7.84,,,,,,,,,,,,,,,
Barbados,,,,,,,,-0.011,,,,,,,,,,,,
Belarus,-28.6,-30.6,-28.8,-22.5,-31.7,-31.2,-29.3,-26.4,-24.5,-31.4,-30.9,-29,-25.6,-22.3,-22.9,-26.2,-28.4,-27.6,-27.1,-30
Belgium,-1.56,-0.94,-1.25,-1.2,-1.24,-1.1,-1.17,-1.2,-1.12,-1.17,-1.16,-1.8,-1.63,-1.7,-1.61,-1.65,-1.64,-1.61,-1.56,-1.6
Belize,,,,,-4.02,,,,,,,,,,,,,,,
Benin,,,,,,-47.5,,,,,,,,,,,,,,
Bhutan,,,,,-3.55,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,48,,,,,
Bosnia and Herzegovina,-7.42,,,,,,,,,,,,,,,,,,,
Botswana,,,,,-38.7,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,1330,,,,
Bulgaria,-13.8,-13.7,-13.3,-12.6,-12.4,-12.9,-11.9,-11.9,-11.9,-11.9,-10.3,-10.6,-11.1,-11.1,-11.4,-11.3,-11.4,-10.3,-11.6,-11.8
Burkina Faso,,,,,-1.39,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,-15.3,,,,
Cambodia,,,,,-17.9,,,,,,,,,,,,,,,
Cameroon,,,,,22.2,,,,,,,,,,,,,,,
Canada,-67.5,-41.2,-89.6,-20.3,-23.7,186,-29.7,-71.7,116,7.76,-62.1,-57.7,87.4,43,96.8,53.5,64.6,51.4,-16.9,-12.1
Cape Verde,,,,,,-0.0703,,,,,,,,,,,,,,
Central African Republic,,,,,-139,,,,,,,,,,,,,,,
Chad,,,,-46.2,,,,,,,,,,,,,,,,
Chile,,,,,-9.2,,,,,,,,,,,,,,,
China,,,,,-407,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,26,,,,,
Comoros,,,,,-0.895,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,-179,,,,,,
"Congo, Rep.",,,,,,,,,,,-82.1,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,-3.51,,,,
Cote d'Ivoire,,,,,,,,,,,-18.4,,,,,,,,,
Croatia,-6.93,-6.83,-6.83,-6.83,-6.87,-6.86,-6.47,-6.68,-6.86,-7.03,-7.22,-7.39,-7.56,-7.75,-7.93,-8.1,-8.22,-8.51,-8.64,-8.71
Cuba,,,,,,,-21.7,,,,,,,,,,,,,
Czech Republic,-3.63,-9.04,-10.8,-9.44,-7.14,-7.21,-7.62,-6.66,-7,-7.16,-7.54,-7.89,-7.65,-5.75,-6.19,-6.69,-3.47,-0.73,-4.78,-6.86
Denmark,3.15,1.95,3.72,0.468,2.34,1.68,0.511,1.71,0.685,2.79,2.91,2.78,3.65,2.9,2.3,3.59,2.91,-0.0875,-2.12,-1.12
Djibouti,,,,,-0.604,,,,,,,,,,,,,,,
Dominica,,,,,-0.372,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,-18.8,,,,,,,,,
Ecuador,46.9,,,,,,,,,,,,,,,,,,,
Egypt,-9.9,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,3.94,,,,,,,,,,,,,,,
Eritrea,,,,,1.68,,,,,,,,,,,,,,,
Estonia,-10.4,-8.48,-9.18,-9.3,-9.38,-9.46,-9.15,-9.47,-8.81,-4.52,4.01,4.24,2.64,1.06,-5.71,-8.67,-1.58,-13.7,-0.326,-7.03
Ethiopia,,,,,,-9.88,,,,,,,,,,,,,,
Fiji,,,,,-7.7,,,,,,,,,,,,,,,
Finland,-15,-29.1,-23.1,-20.9,-13.4,-13.3,-22.7,-18.8,-16.9,-19.7,-20.9,-24.3,-24.6,-25,-24.9,-27.7,-31.2,-23.3,-27,-40.6
France,-39.7,-35.6,-40.2,-47.5,-48.9,-47.8,-49.5,-54.1,-55.1,-58.1,-49.1,-54.7,-60.3,-62.4,-63.9,-64.9,-69.4,-68.5,-68.9,-63.9
Gabon,,,,,-501,,,,,,,,,,,,,,,
Gambia,,,,-50,,,,,,,,,,,,,,,,
Georgia,,,,,1.04,,,,,,,,,,,,,,,
Germany,-31.2,-31.4,-31.6,-31.9,-31.9,-31.8,-32.1,-32.2,-32.2,-32.4,-32.4,-32.9,16.6,16.3,16.1,15.8,14.1,15.2,15.2,17.6
Ghana,,,,,,,-19,,,,,,,,,,,,,
Greece,-2.5,-2.59,-2.86,-3.22,-2.84,-3.2,-2.79,-2.83,-3.11,-3.33,-2.84,-3.1,-3.22,-2.9,-3.07,-3.05,-3.14,-2.93,-3.08,-3.02
Grenada,,,,,-0.092,,,,,,,,,,,,,,,
Guatemala,-39.5,,,,,,,,,,,,,,,,,,,
Guinea,,,,,-17.6,,,,,,,,,,,,,,,
Guyana,,,,,,,,,-30.9,,,,,,,,,,,
Haiti,,,,,0.955,,,,,,,,,,,,,,,
Honduras,,,,,,4.63,,,,,,,,,,,,,,
Hungary,-1.95,-2.25,-3.32,-5.28,-5.75,-5.78,-1.86,-2.03,-3.06,-1.43,-0.364,-1.71,-0.906,-3.07,-2.13,-4.22,-2.29,-2.69,-3.93,-3.02
Iceland,1.1,1.11,1.1,1.08,1.07,1.06,1.05,1.03,1.01,0.994,0.931,0.915,0.894,0.87,0.84,0.809,0.779,0.747,0.718,0.681
India,,,,,14.3,,,,,,,,,,,,,,,
Indonesia,,,,,164,,,,,,,,,,,,,,,
Iran,,,,,31.6,,,,,,,,,,,,,,,
Ireland,-0.565,-0.57,-0.584,-0.757,-0.982,-0.785,-0.725,-0.791,-1.13,-1.08,-0.788,-0.891,-1.09,-1.16,-1.13,-1.36,-1.41,-1.87,-2.36,-2.17
Israel,,,,,,,,,,,,,,,,,,-0.401,,
Italy,-61.8,-76.3,-75.5,-58.6,-75.4,-79.9,-88.2,-75.1,-73.1,-79.4,-78.9,-86.9,-92.8,-83.6,-88,-90.5,-97,-73.3,-92.8,-94.7
Jamaica,,,,,-0.167,,,,,,,,,,,,,,,
Japan,-69.6,-76.8,-76.5,-79.4,-81.1,-81.5,-86.2,-86.5,-86.4,-86.6,-87.3,-87.4,-88.6,-97.7,-97.2,-90.3,-84.5,-83.7,-78.3,-71.5
Jordan,,,,,,,,,,,0.739,,,,,,,,,
Kenya,,,,,-28,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,-0.688,,,,
Lao,-104,,,,,,,,,,,,,,,,,,,
Latvia,-15.2,-16.9,-18,-17.6,-16.9,-16.2,-17.7,-15.1,-14.1,-13.6,-14.3,-14.5,-13.5,-15,-16.2,-17.1,-20.3,-21.7,-22.7,-20.5
Lebanon,,,,,,,,,,,-0.0768,,,,,,,,,
Lesotho,,,,,1.26,,,,,,,,,,,,,,,
