country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,20.7,18.9,21.7,20,18.4,17.3,17.5,17.1,14.9,13.5,17.8,19.1,17.6,16.9,18,18.1,17.3,17,18.1,12.9,14.2,19.2,27.3,30,21.6,17.7,22.4,18.8,9.93,12.3,10.9,10.1,9.42,6.98,7.85,6.86,8.73,7.55,3.71,2.54,2.9,2.87,1.37,2.91
Algeria,,,,,,,,,,,,35.6,34.4,33.4,34.8,37.8,37.3,39.8,42.8,45.7,46.3,48.1,51.7,54.6,50,46.7,50,47.9,50.6,50.7,45.1,44,43.8,44.6,45.7,46.7,46.9,49.5,48.3,48.1,47.4,47.9,47.4,45.2,43.3,42.1,42.4,40,40,38.8,37.9,38.9,39.9,38.4,38.8
Angola,,,,,,,,,,,,13,9.58,11.4,21.8,21.9,22.7,30.5,17.8,20.5,20.3,21.4,24.1,26.3,12.1,11.3,13,12.3,13.4,12.7,12.2,10.7,9.51,7.35,9.09,9.97,9.79,14.8,15.5,17.7,20.1,20.7,18.9,17.3,11.5,15.9,13,12.3,13.4,17.8,17.2,14.9,12.6,14.4,19.2
Argentina,,,,,,,,,,,,35.5,37,35.3,32.9,33.2,33.2,34.8,32.7,33.2,32.1,31.2,30.5,31.1,29.3,29.4,35.9,33.9,39.5,39.2,34.5,36.5,35.4,31.7,28.3,29.1,30.3,28.7,29.1,31.9,32.3,30.3,30.1,30.8,31.9,31.8,31.7,33.8,34.5,36.2,35.9,36.9,38.5,37.4,38
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,37.7,45.6,16.5,30.6,41.2,64.2,57,54.6,49.8,46.8,44.5,31.6,26.9,22.3,23,21.7,22.5,19.7,15.2,15.6,20.3,26.3,25.2,29.7
Australia,33.9,34.3,35.7,35.6,36.3,36.9,38.6,38.6,38.1,37.9,38.6,37.8,40,38.5,44.5,45.4,46.1,47.7,46.5,46.5,48.9,50.4,51.9,52.1,51.8,52.7,52.4,53.3,53.8,54.8,55,55.7,55.7,55.5,55.3,55.4,56.1,56.1,58.8,59.1,58.9,59.9,62.7,60.9,61.3,62.1,62.5,62.7,62.1,63.3,62.9,61.6,60.9,59.4,58.4
Austria,17.7,20.8,20.2,19.6,19.7,17,17.5,17.5,17.1,18,20.4,24.4,24.1,23.1,21.9,22.6,26,22.6,22.9,22.6,21.6,25,23.2,23.8,25.1,24.9,25,25.8,25,26.6,35.4,34.3,31.5,31.6,34,34.7,33.5,34.7,33,32.5,31.7,32.4,32.5,33.2,33.5,34.2,34,34.4,34.2,31.8,35.3,36.4,35,33.5,32.6
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,43.2,54.2,59.9,50.8,47.7,54.7,54.4,60.5,61.8,59.7,58.6,54.8,58.5,57.2,56.8,57.7,54.4,48.5,47.1,42.5,44.1,48.4,46.7,46.2
Bahrain,,,,,,,,,,,,77.5,75.8,61.1,52.9,51.2,52.5,55.4,56.4,58.8,62,60.1,57.1,58.5,89.1,89.3,90.4,89.9,89.9,89.6,89,88.5,89.3,89.7,89.6,89.3,89.4,88.6,88.3,89,88.7,88.3,87.7,87.3,86,85.9,86.6,85.8,85.5,85.4,84,84.5,85.3,81.2,80.5
Bangladesh,,,,,,,,,,,,27.8,27.8,34,28,23.1,22.9,25.2,27.4,27.4,26.6,26.2,28.9,30.5,33.2,39.1,40.6,39.4,43.2,40,39,42.8,44.3,46.3,45.3,40.8,40.3,38.3,41.2,44.7,43,43.2,43.4,41.7,45.9,46.2,48.3,48.5,48.4,48.6,48.6,47.4,49.3,52.1,52.8
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,61,63,61.4,66.1,64.4,62.9,65.2,63.9,64.9,65.8,67.4,66.8,66.2,67.4,65.5,64.2,62.5,61.3,61.6,62.1,58.6,57.3,56.1,57.2
Belgium,32.4,31.4,30.3,29.3,31.4,29.2,30.2,29.5,27.7,26.9,25,27.3,28.1,29.1,32.3,28.6,31,31.3,30.9,31.8,33.8,34.6,33.5,32.3,30.8,26.8,25.1,26.3,27.6,28.4,29.8,29,28.7,29.2,29.9,29.7,28.3,27.6,28.4,26.5,27.4,25.5,27.4,27.2,26.9,28,28.3,29.4,26.7,26.2,27.5,27.9,27.7,25.4,25.8
Benin,,,,,,,,,,,,0,0,4.88,2.38,2.17,3.57,3.03,2.63,2.63,5.13,3.33,5.56,16.7,10.5,6.38,7.32,8.33,5.56,7.14,11.5,15,14.3,14.3,13.6,13.6,3.3,4.31,4.13,3.73,4.23,3.47,3.47,2.63,2.47,2.99,3.4,3.96,4.18,2.15,2.42,2.35,2.45,2.29,2.26
Bolivia,,,,,,,,,,,,17.9,17.1,17.8,16.8,15.8,15.3,16.8,17,20.1,23.5,27.2,28.1,21.3,25.1,24.8,28,29.2,27,28,29.3,27.9,30.7,27.9,29.5,31.1,26.9,27,28.8,24,26.1,24.1,24.9,27.1,24.8,27,25.7,26.1,25.6,26.6,27.2,26.9,25.2,24.6,24.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,40.6,43.3,44.8,22.1,24.1,50.8,69.4,74.5,75,65.1,65,67.3,71.3,67.7,66.8,68.3,67.8,67,69.6,67.7,70.9,70,71,70.7
Botswana,,,,,,,,,,,,,,,,,,,,,,45.7,47.9,45.4,40,40.7,43.9,43.6,49.8,49.4,54.1,51.6,50,50.5,53.6,54.9,45.2,45.6,35.9,43,41.2,32,32.5,35.3,40.6,39.3,31.3,25,23.9,33.1,17.4,27.9,42.1,44.3,54.5
Brazil,,,,,,,,,,,,14.5,12.3,12,11.4,11.2,10.6,11,12.3,11.8,12.1,13.4,13.1,13.8,15.5,15.2,17.9,17,16.3,15.3,15.2,14.7,15.2,14.8,14.2,13.8,13.7,14.5,14.3,16.2,17.1,18.3,16.7,17.1,18,18.6,18.5,17.4,19.7,17.7,18.7,16.2,19.4,23.5,26.3
Brunei,,,,,,,,,,,,57.5,61.5,77.9,84.2,86.5,87.6,88.9,87.7,85.7,81.4,83.4,81.2,80.1,81.6,79.7,79.9,79.6,78.6,77.5,77.9,77.2,75.7,76.4,76.3,77.1,76,76,75.2,75.2,77.1,76.3,75.5,78.7,76.8,77,58.4,55,54.4,68.9,75.2,73.6,71.4,72.4,72.1
Bulgaria,,,,,,,,,,,,34.8,36,35.2,37.1,37.6,38.1,42,47.6,47.1,45.7,46.2,47.2,46.3,46.1,47.7,50.9,51.6,51.8,51.6,64.7,67.9,69.4,69.7,67,67.2,67.2,58.2,59.2,62.3,62.9,65.5,62.9,63.4,62.9,62.1,61.2,63.8,66.4,69.1,70,72.4,69.7,68.9,69
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,13.1,15.9,16.5,17.8,19.4,20,26.7,25.6,27.7,29.1,32.1,33.7,32.6,23.9,17.5,17.4,15.2,12.9,19.8
Cameroon,,,,,,,,,,,,4.11,5.19,5,5,3.92,5.38,4.51,4.2,3.9,4.19,4.57,4.79,3.43,2.8,1.68,1.74,2.19,1.61,1.47,1.52,1.65,1.32,1.24,1.18,1.22,1.23,1.17,1.87,1.67,1.43,2.21,3.1,4.03,3.99,5.46,19.3,32.3,33,32.4,32.5,30.4,31.1,33.8,32.6
Canada,13.1,14.1,16,17.3,18,19.2,19.7,20.5,22,22.2,22.2,23.4,22.9,22.9,21.5,23.2,23.3,24.7,25.1,24.5,25.3,25.6,28.1,29.8,31,30.6,29.9,31.6,32.9,33.5,32.9,33.6,34.2,32.5,32.4,32.8,32.1,33.7,36.2,35.8,36.6,38.2,37.6,38.1,36.5,37.7,37.7,38.7,39.6,39.5,39.9,38.8,39.3,39.4,38.7
Chile,,,,,,,,,,,,30,27.2,26.6,26.3,27.2,28.2,27.6,27.5,30.5,29.8,29.1,27.5,27.3,28.6,27.2,24.8,24.3,27.5,32.4,36.1,29.5,24.3,23.1,27.1,27.2,32.4,31.9,37.2,40.2,34,31.4,33.2,35.3,39.1,38.3,37.5,41.8,43.4,42,40,43.1,47.9,46.9,43
