country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Albania,,,,,,,,,,,,24.1,22.5,30.1,31.1,37.3,37.4,36.7,35.9,36.9,21.9,26.5,26.7,25.8,25.1,27.7,29.2,28.2,29.8,19.4,31.4,25.2,13.6,11.1,8.37,4.32,5.91,3.5,2.84,17.5,16.2,16.1,14.7,15.7,12.2,8.9,14,11.6,8.63,5.04,6.11,6.04,6.9,6.59,6.55
Algeria,,,,,,,,,,,,4.19,4.25,4.28,4.19,4.5,4.39,4.18,3.81,3.45,3.46,3.24,2.9,2.7,2.77,0.19,0.212,0.212,0.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,3.73,3.88,3.19,4.05,2.37
Angola,,,,,,,,,,,,0,0,0,0,0,0,0,8.91,18.1,24.1,23.4,15,19,3.59,2.48,2.89,2.46,1.87,1.52,0.765,0.499,0.257,0,0,0.256,0.239,0,0.268,0.211,0,0,0,0.142,0.135,0.163,0.364,0.311,0.339,0.288,0.264,0.249,0.313,0.332,0.363
Argentina,,,,,,,,,,,,4.47,4.39,4.44,4.81,5.11,5.33,4.99,5.42,5.63,5.43,5.59,5.86,5.62,5.26,7.44,4.94,5.19,4.84,4.25,4.61,4.88,5.32,5.79,6.37,6.62,6.59,6.16,5.68,5.6,5.42,5.53,5.89,6.43,6.95,7.21,6.3,5.41,7.16,7.15,5.99,4.81,4.83,5.54,6.47
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,7.79,6.57,6.71,10.1,5.93,4.58,3.48,3.66,3.41,6.43,6.07,8.93,10.4,10.1,10.2,9.64,8.75,8.16,9.37,16.5,15,14.3,14.3,0.383
Australia,4.4,4.41,4.81,4.47,6.01,6.37,6.66,6.22,7.01,7.52,4.24,4.35,3.86,5,1.4,1.36,1.36,1.31,1.39,1.41,1.4,1.45,1.54,1.48,1.64,1.5,1.48,1.47,1.37,1.38,1.31,1.31,1.31,1.33,1.33,1.33,1.28,1.31,1.25,1.26,1.25,1.23,1.44,1.74,1.68,1.74,1.6,1.53,1.54,1.51,1.57,1.59,1.62,1.66,1.69
Austria,0.0329,0.0326,0,0.0271,0.0265,0.0272,0.027,0.0265,0.0247,0.0233,0.0861,0.0617,0.0794,0.0558,0.0391,0.0404,0.0371,0.039,0.0559,0.0537,4.77,4.91,4.94,4.58,4.73,4.39,4.05,3.84,3.64,3.37,2.2,1.99,2.1,1.88,1.76,1.71,1.63,1.65,1.65,1.72,1.65,1.52,1.44,1.36,1.31,1.19,1.17,1.18,1.18,1.21,1.11,1.11,1.16,1.14,1.18
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97,6.07,6.36,4.74,4.6,3.62,3.84,2.86,2.97,3.61,6.08,4.72,1.49,1.01,1.42,2.93,0.578,2.44,2.78,4.12,4.46,4.16,3.88,3.97,3.61
Bahrain,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,,,,,,,,,,,,1.39,1.39,1.47,3.86,3.85,4.06,3.75,3.66,4.39,4.56,3.92,4.65,5.91,5.16,6.36,7.51,8.19,6.66,10,6.83,8.09,8.52,7.93,7.35,7.1,7.74,7.42,7.59,7.88,6.59,7.45,7.23,6.73,7.3,7.67,7.05,6.65,6.17,5.63,5.56,6.53,6.09,5.35,5.17
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,4.26,4.22,4.62,3.56,3.53,3.32,3.14,3.27,3.13,4.11,3.73,3.66,3.7,3.69,3.93,4.05,4.41,4.74,4.11,3.46,3.92,3.89,4.1,4.06
Belgium,3.06,2.95,2.86,2.57,2.78,2.74,2.7,2.63,2.46,2.43,2.26,2.1,1.89,1.06,0.955,1.08,1,1.32,1.38,1.56,1.27,1.19,1.25,1.26,1.12,1.12,1.4,1.35,1.75,1.66,1.43,1.53,2.04,2.29,2.76,3.12,3.34,2.91,2.56,2.42,2.1,1.99,1.81,2.23,2.37,2.28,2.3,2.15,2.16,2.26,2.16,1.78,1.99,2.1,1.87
Benin,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0.412,0,0,0,0,0,0,0,-0.204,0,0
