country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,10200,10200,9170,9400,9990,10500,10500,10500,10400,10200,10400,10300,10300,9860,9050,8310,7420,7490,7920,7470,7630,7700,7390,7470,7670,7890,8610,9210,9700,10300,9380,8670,9930,10400,10500,10700,10900,11000,11200,11500,13500,13600,13800
Albania,1760,1720,1740,1790,1820,1860,1940,2000,2110,2180,2230,2240,2250,2310,2330,2290,2370,2500,2610,2650,2550,2400,2270,2340,2780,2770,2620,2460,2370,2360,2610,2350,2330,2470,2470,2480,2490,2510,2520,2480,2590,2620,2640
Algeria,12900,14400,19900,24800,21600,19900,24100,25800,27800,27800,26000,23600,23000,25500,27200,31500,31200,31500,31600,33300,32300,33400,37500,37400,36400,39600,40600,41800,42800,45700,45100,42300,42200,45100,44800,46700,47500,46500,47400,47000,47600,48100,48500
Angola,23400,14500,15600,16700,15000,17100,15000,17400,18300,22900,19600,17400,19200,19200,15700,16100,15900,20500,15800,17300,22100,19200,28300,17500,19800,21400,20900,15100,16100,16100,15800,15500,15700,15600,15800,16400,16600,16600,17300,18000,18600,18800,19000
Antigua and Barbuda,24.3,26.4,26.2,26.5,25.5,25.4,25,26.2,27.8,31.5,34.4,34.2,36.7,35.7,35.9,37.4,37.3,37.5,37.8,35.4,35.5,35.8,36,36.5,37.1,37.5,37.1,37,36.8,36.7,36.7,37.5,38.1,38.6,39.4,39.6,40.2,40.7,41.3,41.9,42.4,42.8,43.3
Argentina,84900,84700,88500,90800,91800,93900,97300,99700,97000,96600,95700,93200,91900,94100,94800,94600,94600,95200,98100,100000,102000,101000,102000,102000,101000,102000,101000,103000,100000,98300,99200,98500,95900,101000,102000,100000,100000,97800,97900,93100,86700,87600,88500
Armenia,1320,1380,1440,1490,1540,1590,1590,1580,1580,1560,1540,1520,1530,1560,1610,1630,1630,1650,2490,2670,2890,2750,2610,2400,2540,2430,2560,2610,2550,2620,2570,2530,2600,2710,2830,2960,3080,3110,3230,3250,3330,3380,3430
Australia,94300,93900,106000,97700,103000,107000,114000,111000,99800,106000,110000,97500,108000,98900,101000,114000,109000,104000,104000,109000,115000,121000,117000,113000,123000,113000,114000,119000,117000,122000,128000,136000,132000,126000,127000,122000,119000,136000,122000,128000,123000,124000,126000
Austria,9020,8940,8920,9090,9240,9230,9260,9380,9410,9610,9710,9730,9870,9910,10100,10300,10200,10200,10300,10200,10000,10000,9880,9940,9630,9560,9450,9250,9150,9110,8980,8890,8790,8700,8570,8460,8430,8380,8300,8270,8390,8140,8010
Azerbaijan,6400,6580,6800,7020,7340,7680,7930,8130,8380,8610,8840,9010,9260,9550,9920,10300,10700,11000,11200,11400,11500,11000,10500,9900,9470,9120,8900,8880,9120,9700,9950,10300,10600,11100,11300,12100,13100,14800,16900,17900,18400,19200,20000
Bahamas,93.6,99.3,103,107,103,106,104,115,107,108,113,119,120,120,122,117,120,125,130,136,141,146,148,152,156,160,165,167,169,171,175,179,182,186,192,197,201,206,212,217,222,224,227
Bahrain,791,793,815,959,1070,1020,1080,1210,1240,1310,1320,1420,1360,1370,1450,1640,1610,1620,1690,1760,1800,1640,1800,1930,1940,1950,2070,2180,2300,2340,2380,2460,2570,2630,2690,2780,2930,3060,3200,3240,3310,3350,3380
Bangladesh,91300,86500,88100,88600,87800,90800,88200,88900,91200,92300,87100,88100,88600,83600,86100,87100,88100,86500,86000,87600,87100,85900,86100,84800,85000,85400,86600,87200,85800,89600,89200,90600,92000,93000,91800,94200,95000,96500,97800,99700,103000,104000,105000
Barbados,100,99.6,99.4,103,101,94.5,94.7,98.2,98.3,100,105,103,101,103,106,104,108,109,114,123,129,127,126,123,124,124,124,111,114,117,121,107,106,105,99.5,103,101,103,104,106,107,108,109
Belarus,12100,12700,13200,13500,14000,14500,14700,14800,15200,15400,15600,15700,16000,16400,16800,17100,17400,17800,17700,18100,18600,18000,17400,16600,15800,14800,14300,14000,14000,13800,13300,13400,13400,13200,13500,14000,14400,14900,15300,15900,16400,16500,16600
Belgium,14100,13700,13600,14000,14200,14000,13900,14000,13800,13800,13800,13800,13700,13600,13800,14000,13600,13300,12400,12400,12400,12500,12300,12100,12000,12200,11700,11400,11100,11300,11100,10700,10300,9920,9910,9620,9580,9550,9540,9590,9630,9410,9240
Belize,96.5,108,113,115,128,131,126,134,135,145,142,138,156,142,146,143,143,148,151,159,170,182,183,180,181,160,167,163,158,168,167,166,174,184,178,188,190,192,193,207,224,226,228
Benin,3460,3380,3380,3720,2890,3190,3340,3900,3340,3650,4530,3820,4410,4150,4140,3830,3780,3970,3730,4080,5120,4130,4780,4490,4600,4950,4930,5040,4250,4660,4500,4430,4990,4120,4370,4380,4530,5600,7090,7180,6850,6910,6980
Bhutan,698,709,718,731,744,748,758,771,794,809,825,830,850,869,887,913,933,952,896,902,919,911,1200,1190,1190,1150,1150,1060,1070,1250,1030,948,1010,913,1020,1030,1260,1120,1200,1360,1730,1750,1770
Bolivia,16500,11300,15100,12700,14100,16400,19300,15000,18800,20000,21200,19000,19900,21200,16700,18300,18700,22600,19500,19800,22400,21400,23100,25300,19400,20600,21500,22200,19200,37500,19800,19600,23300,19800,55900,29800,19200,19900,21000,21000,22800,23000,23200
