country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Algeria,57.8,55.3,62.6,59.2,56.1,53.3,51.6,48.8,51,49.9,48.4,47.3,46.2,45.2,48,47.1,50.1,51.1,50.9,50.2,49.5,48.8,48.2,49.7,49,50.3,49.5,48.5,47.7,46.9,46.1,45.2,44.3,43.4,42.5,41.7,41
Angola,21,16.3,20.7,23.6,28.5,25.9,17.5,24.3,23.7,23.9,18.2,15.8,14,19.3,29.2,29.9,34.3,35.3,35.5,43.2,49.5,52.2,69.1,65.9,65.3,63,60.8,58.7,56.7,57.5,55.4,51,68.8,66.5,63.8,57.7,54.8
Argentina,11.9,10.4,9.17,11.3,10.7,10.1,9.87,9.78,9.78,9.16,6.54,6.92,8.18,8.86,8.89,9.3,10,9.98,10.4,11.4,10.9,10.5,10.2,9.52,8.73,7.6,8.92,8.93,8.51,8.4,8.35,8.27,7.63,7.47,7.55,7.52,7.45
Australia,19.8,24.1,26.6,22.3,22.5,21.3,24.5,24.4,26.3,25.2,25.3,25.5,25.1,25.1,29.1,28.7,28.5,29.8,34.9,34.3,35.4,35.1,32,26,26.6,25.1,23.3,22.3,27.1,25.5,23.6,23.5,23.4,23.3,23.1,22.8,22.5
Azerbaijan,,,,,,,,,,,,23.2,22.9,22.6,20.5,20.3,20.1,19.9,19.8,19.9,19.8,19.6,115,114,113,112,111,109,108,107,106,104,103,102,100,99.3,98.2
Brazil,1.48,1.62,1.85,1.94,2.07,2.18,2.32,2.46,2.67,2.57,4.12,4.32,4.38,4.32,4.59,5.23,5.53,5.78,5.9,6.44,6.59,6.51,7.42,7.92,8.3,8.59,8.79,9.01,9.05,9.01,9.87,10.3,10.4,10.5,10.8,8.61,8.3
Brunei,910,1020,956,982,919,877,871,918,670,625,592,589,563,605,560,516,488,463,436,543,503,465,433,405,425,413,442,392,388,391,386,381,375,370,364,359,355
Canada,220,221,220,218,216,216,214,212,210,206,198,195,190,188,226,225,225,223,225,813,805,796,786,776,767,761,749,739,720,707,698,688,679,669,660,651,645
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,14.2,13.6,13.1,12.6,20.3,19.6,19,18.4,17.8,17.2,16.6,16.1,15.6,15.1,14.6,14.2
China,1.83,1.8,1.77,1.96,2.12,2.18,2.15,2.14,2.08,1.9,1.86,1.78,1.72,1.84,1.8,1.8,1.79,1.84,1.88,1.62,1.61,1.63,1.63,1.62,1.61,1.61,2.08,2.12,2.15,2.18,2.33,2.37,2.42,2.44,2.47,2.5,2.49
